stock_id,name,market,industry,period_index,fiscal_quarter,revenue_month,revenue_yoy,operating_margin,net_income_yoy,eps,inventory_turnover,free_cash_flow,composite,composite_delta,value_pick,revenue_yoy_grade,operating_margin_grade,net_income_yoy_grade,eps_grade,inventory_turnover_grade,free_cash_flow_grade,revenue_yoy_values,operating_margin_values,net_income_yoy_values,eps_values,inventory_turnover_values,free_cash_flow_values,revenue_yoy_reason,operating_margin_reason,net_income_yoy_reason,eps_reason,inventory_turnover_reason,free_cash_flow_reason
6903,巨漢,上櫃,其他電子業,3,2026.1Q,115/05,1,4,4,4,數據不足,3,數據不足,,0,B,AA,AA,AA,數據不足,A,229.138 / 297.048 / 320.452 / 385.949 / 179.103 / 206.119,28.3 / 25.26 / 23.78 / 23.27,571.2 / 216.8 / 60.7 / -34.1,6.72 / 5.11 / 2.7 / 1.79,— / 147.75 / 80.75 / —,-49 / 297 / -74 / 279 / -51 / -215,B: 平均為正但最近三個月遞減,AA.1: 穩定且平均>=15%,AA.1: 近三季皆正且最近一季成長,AA: 最近四季累積>=5元,not enough periods,A: 六季累積為正且四季累積為正
6903,巨漢,上櫃,其他電子業,4,2026.1Q,115/04,3,4,4,4,數據不足,3,數據不足,,0,A,AA,AA,AA,數據不足,A,297.048 / 320.452 / 385.949 / 179.103 / 206.119 / 188.508,28.3 / 25.26 / 23.78 / 23.27,571.2 / 216.8 / 60.7 / -34.1,6.72 / 5.11 / 2.7 / 1.79,— / 147.75 / 80.75 / —,-49 / 297 / -74 / 279 / -51 / -215,A.2: 平均>25%但小幅衰退,AA.1: 穩定且平均>=15%,AA.1: 近三季皆正且最近一季成長,AA: 最近四季累積>=5元,not enough periods,A: 六季累積為正且四季累積為正
6903,巨漢,上櫃,其他電子業,5,2025.4Q,115/03,3,4,1,4,數據不足,2,數據不足,,0,A,AA,B,AA,數據不足,BB,320.452 / 385.949 / 179.103 / 206.119 / 188.508 / 90.5615,25.26 / 23.78 / 23.27 / 17.86,216.8 / 60.7 / -34.1 / -65.8,5.11 / 2.7 / 1.79 / 1,147.75 / 80.75 / — / —,297 / -74 / 279 / -51 / -215 / -373,A.2: 平均>25%但小幅衰退,AA.1: 穩定且平均>=15%,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,AA: 最近四季累積>=5元,not enough periods,BB: 六季累積為負但四季累積為正
6903,巨漢,上櫃,其他電子業,6,2025.4Q,115/01-02,4,4,1,4,數據不足,2,數據不足,,0,AA,AA,B,AA,數據不足,BB,385.949 / 179.103 / 206.119 / 188.508 / 90.5615 / 66.4879,25.26 / 23.78 / 23.27 / 17.86,216.8 / 60.7 / -34.1 / -65.8,5.11 / 2.7 / 1.79 / 1,147.75 / 80.75 / — / —,297 / -74 / 279 / -51 / -215 / -373,AA: 六個月皆正、平均>=25%、最近一月未下滑,AA.1: 穩定且平均>=15%,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,AA: 最近四季累積>=5元,not enough periods,BB: 六季累積為負但四季累積為正
6903,巨漢,上櫃,其他電子業,7,2025.3Q,115/01,4,4,1,4,數據不足,數據不足,數據不足,,0,AA,AA,B,AA,數據不足,數據不足,586.447 / 179.103 / 206.119 / 188.508 / 90.5615 / 66.4879,23.78 / 23.27 / 17.86 / 21.1,60.7 / -34.1 / -65.8 / -45.4,2.7 / 1.79 / 1 / 1.67,80.75 / — / — / —,-74 / 279 / -51 / -215 / -373 / —,AA: 六個月皆正、平均>=25%、最近一月未下滑,AA.1: 穩定且平均>=15%,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,AA: 最近四季累積>=5元,not enough periods,not enough periods
6903,巨漢,上櫃,其他電子業,8,2025.3Q,114/12,3,4,1,4,數據不足,數據不足,數據不足,,0,A,AA,B,AA,數據不足,數據不足,179.103 / 206.119 / 188.508 / 90.5615 / 66.4879 / 13.7467,23.78 / 23.27 / 17.86 / 21.1,60.7 / -34.1 / -65.8 / -45.4,2.7 / 1.79 / 1 / 1.67,80.75 / — / — / —,-74 / 279 / -51 / -215 / -373 / —,A.2: 平均>25%但小幅衰退,AA.1: 穩定且平均>=15%,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,AA: 最近四季累積>=5元,not enough periods,not enough periods
6903,巨漢,上櫃,其他電子業,9,2025.3Q,114/11,4,4,1,4,數據不足,數據不足,數據不足,,0,AA,AA,B,AA,數據不足,數據不足,206.119 / 188.508 / 90.5615 / 66.4879 / 13.7467 / 5.77837,23.78 / 23.27 / 17.86 / 21.1,60.7 / -34.1 / -65.8 / -45.4,2.7 / 1.79 / 1 / 1.67,80.75 / — / — / —,-74 / 279 / -51 / -215 / -373 / —,AA: 六個月皆正、平均>=25%、最近一月未下滑,AA.1: 穩定且平均>=15%,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,AA: 最近四季累積>=5元,not enough periods,not enough periods
6904,伯鑫,上櫃,其他業,1,2026.2Q,115/07,2,3,3,4,3,3,3,0.1666666667,1,BB,A,A,AA,A,A,0.0230625 / 78.7496 / 11.509 / -3.02415 / -0.226496 / -10.959,12.15 / 13.97 / 14.29 / 17.52,1400 / 47.8 / -45.9 / 0,1.65 / 1.83 / 1.78 / 2.35,0.93 / 0.86 / 0.67 / 0.82,40 / -78 / 121 / 30 / 156 / 9,BB.1: 六個月內曾單月負成長,A.1: 穩定且平均10~15%,A: 近兩季皆正且無大幅衰退,AA: 最近四季累積>=5元,A: 四季穩定且平均<1.5次,A: 六季累積為正且四季累積為正
6904,伯鑫,上櫃,其他業,2,2026.1Q,115/06,2,4,1,4,3,3,2.833333333,0.3333333333,0,BB,AA,B,AA,A,A,78.7496 / 11.509 / -3.02415 / -0.226496 / -10.959 / -24.0772,13.97 / 14.29 / 17.52 / 18.59,47.8 / -45.9 / 0 / -95.6,1.83 / 1.78 / 2.35 / 0.09,0.86 / 0.67 / 0.82 / 0.64,-78 / 121 / 30 / 156 / 9 / -79,BB.1: 六個月內曾單月負成長,AA.1: 穩定且平均>=15%,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,AA: 最近四季累積>=5元,A: 四季穩定且平均<1.5次,A: 六季累積為正且四季累積為正
6904,伯鑫,上櫃,其他業,3,2026.1Q,115/05,0,4,1,4,3,3,2.5,0,0,C,AA,B,AA,A,A,11.509 / -3.02415 / -0.226496 / -10.959 / -24.0772 / -14.7449,13.97 / 14.29 / 17.52 / 18.59,47.8 / -45.9 / 0 / -95.6,1.83 / 1.78 / 2.35 / 0.09,0.86 / 0.67 / 0.82 / 0.64,-78 / 121 / 30 / 156 / 9 / -79,C: 平均為負或最近一月為負,AA.1: 穩定且平均>=15%,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,AA: 最近四季累積>=5元,A: 四季穩定且平均<1.5次,A: 六季累積為正且四季累積為正
