保險其他營業成本,保險服務結果,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他營業結果,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）,財務結果
,,,1213,大飲,,,,504,,,,,,,,,,,-0.37,1,,上市,115,781,,,,,,,,-21106,,-20602,,,,,,-21106,,,,-12546,,-7779,78626,77083,-1543,-1543,11003,,-20325,,-20602,,-21106,,,,,,
,,,1215,卜蜂,-62887,,,-159525,,,,,,,,,,,1.26,1,,上市,115,137571,,,,,,,,373172,,213647,,,,,,372755,417,,,573563,,-62820,5902856,7176319,1273463,1273463,637013,,510743,,213230,417,373172,,,,,,
,,,1216,統一,,,,2995939,,,,,,,,,,,1.15,1,,上市,115,3522350,,,,,,,,9763840,,12759779,,,,,,6544541,3219299,,,10253052,,3033138,115892133,175017371,59125238,59125238,48872186,,13286190,,8932866,3826913,9763840,,,,,,
,,,1217,愛之味,,,,-205558,,,,,,,,,,,-0.13,1,,上市,115,6806,,,,,,,,-63994,,-269552,,,,,,-62857,-1137,,,21356,,-78544,858865,1166163,307298,307298,285942,,-57188,,-264316,-5236,-63994,,,,,,
,,,1218,泰山,,,,-1599,,,,,,,,,,,0.32,1,304,上市,115,34861,,,,,,308,,157626,,156027,,,,,,157466,160,,,167473,,25014,2198864,2653792,454928,454924,287451,,192487,,155867,160,157626,,,,,,
,,,1219,福壽,,,,4091,,,,,,,,,,,0.11,1,361,上市,115,13217,,,,,,1280,,-3775,,316,,,,,,36939,-40714,,,2863,,6579,3336631,3634112,283747,282828,279965,-13734,9442,,40349,-40033,-3775,,,,,,
,,,1220,台榮,,,,-608,,,,,,,,,,,-0.17,1,,上市,115,-6012,,,,,,,,-24887,,-25495,,,,,,-29267,4380,,,-26741,,-4158,641251,695415,54164,54164,80905,,-30899,,-29484,3989,-24887,,,,,,
,,,1225,福懋油,,,,3116,,,,,,11919,,,,,0.44,1,,上市,115,28117,,,,,,-103,,126615,,129731,,,,,,107080,19535,,,145105,,9627,2970160,3261472,303231,303334,158229,,154732,,110196,19535,126615,,,,,,
,,,1227,佳格,,,,70258,,,,,,,,,,,0.52,1,,上市,115,141852,,,,,,,,480367,,550625,,,,,,476916,3451,,,534137,,88082,5949148,7770446,1821298,1821298,1287161,,622219,,545887,4738,480367,,,,,,
,,,1229,聯華,,,,2853383,,,,,,,,,,,0.55,1,,上市,115,64821,,,,,,,,1050373,,3903756,,,,,,980784,69589,,,243555,,871639,1934812,2523137,588325,588325,344770,,1115194,,1796185,2107571,1050373,,,,,,
,,,1231,聯華食,,,,7203,,,,,,,,,,,1.00,1,,上市,115,57607,,,,,,,,297044,,304247,,,,,,297767,-723,,,318581,,36070,2623181,3348538,725357,725357,406776,,354651,,304450,-203,297044,,,,,,
,,,1232,大統益,,,,-965,,,,,,,,,,,2.33,1,,上市,115,97456,,,,,,,,389810,,388845,,,,,,372297,17513,,,480031,,7235,5087164,5894059,806895,806895,326864,,487266,,371332,17513,389810,,,,,,
,,,1233,天仁,,,,29147,,,,,,,,,,,0.34,1,,上市,115,7932,,,,,,,,30405,,59552,,,,,,30405,0,,,36343,,1994,221165,568211,347046,347046,310703,,38337,,59482,70,30405,,,,,,
,,,1234,黑松,,,,6520,,,,,,,,,,,0.29,1,,上市,115,45434,,,,,,,,115795,,122315,,,,,,115795,,,,46713,,114516,1770805,2328332,557527,557527,510814,,161229,,122315,,115795,,,,,,
,,,1235,興泰,,,,10689,,,,,,,,,,,-0.54,1,,上市,115,4040,,,,,,,,-125894,,-115205,,,,,,-59140,-66754,,,4050,,-125904,42135,58970,16835,16835,12785,,-121854,,-28448,-86757,-125894,,,,,,
,,,1236,宏亞,,,,54698,,,,,,,,,,,0.23,1,,上市,115,7201,,,,,,,,19977,,74675,,,,,,19977,,,,25153,,2025,392256,545487,153231,153231,128078,,27178,,74675,,19977,,,,,,
,,,1256,鮮活果汁-KY,,,,111343,,,,,,,,,,,3.24,1,,上市,115,58207,,,,,,,,115999,,227342,,,,,,115743,256,,,151285,,22921,794831,1141779,346948,346948,195663,,174206,,226875,467,115999,,,,,,
,,,1301,台塑,,,,26908885,,,,,,,,,,,0.51,1,,上市,115,110089,,,,,,,,3268627,,30177512,,,,,,3268627,,,,-1301844,,4680560,40429654,41985122,1555468,1555468,2857312,,3378716,,30177512,,3268627,,,,,,
,,,1303,南亞,,,,17590918,,,,,,,,,,,1.80,1,,上市,115,1405348,,,,,,2074,,14674818,,32265736,,,,,,14254717,420101,,,3741833,,12338333,60407722,68596393,8188671,8186597,4444764,,16080166,,31660169,605567,14674818,,,,,,
,,,1304,台聚,,,,557649,,,,,,,,,,,-0.41,1,,上市,115,-116686,,,,,,,,-971660,,-414011,,,,,,-439887,-531773,,,-629024,,-459322,10439615,10746648,307033,307033,936057,,-1088346,,47403,-461414,-971660,,,,,,
,,,1305,華夏,,,,34146,,,,,,,,,,,-0.21,1,,上市,115,-32403,,,,,,,,-135159,,-101013,,,,,,-120414,-14745,,,-175550,,7988,2621262,2673905,52643,52643,228193,,-167562,,-86356,-14657,-135159,,,,,,
,,,1307,三芳,,,,182940,,,,,,,,,,,0.97,1,,上市,115,112390,,,,,,,,386040,,568980,,,,,,386040,,,,410564,,87866,1990414,2952809,962395,962395,551831,,498430,,568980,,386040,,,,,,
,,,1308,亞聚,,,,916230,,,,,,,,,,,-0.20,1,,上市,115,4459,,,,,,,,-120235,,795995,,,,,,-120235,,,,13526,,-129302,1228207,1301918,73711,73711,60185,,-115776,,795995,,-120235,,,,,,
,,,1309,台達化,,,,221244,,,,,,,,,,,-0.53,1,,上市,115,-50144,,,,,,,,-212196,,9048,,,,,,-212196,,,,-275206,,12866,3391574,3333032,-58542,-58542,216664,,-262340,,9048,,-212196,,,,,,
,,,1310,台苯,,,,436782,,,,,,,,,,,-0.94,1,,上市,115,30541,,,,,,,,-495637,,-58855,,,,,,-495969,332,,,155538,,-620634,1989335,2184647,195312,195312,39774,,-465096,,-59189,334,-495637,,,,,,
,,,1312,國喬,,,,1050377,,,,,,,,,,,-1.17,1,,上市,115,-33529,,,,,,,,-1328169,,-277792,,,,,,-1295839,-32330,,,-893985,,-467713,7646791,7516970,-129821,-129821,764164,,-1361698,,-366554,88762,-1328169,,,,,,
,,,1313,聯成,,,,-866337,,,,,,,,,,,0.08,1,,上市,115,70351,,,,,,,,102340,,-763997,,,,,,102340,,,,195198,,-22507,13535009,14431164,896155,896155,700957,,172691,,-763997,,102340,,,,,,
,,-4083,1314,中石化,,,,246452,,,,,,,,,,,-0.07,1,,上市,115,25,,,,,,,,-267304,,-20852,,,,,,-263381,-3923,,,-647288,,384092,4383871,4092344,-291527,-291527,355761,,-263196,,-16994,-3858,-263221,,,,,,
,,,1315,達新,,,,394570,,,,,,,,,,,0.15,1,,上市,115,8119,,,,,,,,14551,,409121,,,,,,13937,614,,,-40608,,63278,356517,400564,44047,44047,84655,,22670,,407584,1537,14551,,,,,,
,,,1316,上曜,,,,17367,,,,,,,,,,,-0.19,1,,上市,115,38515,,,,,,,,40968,,58335,,,,,,-63701,104669,,,55716,,23767,1287224,1897267,610043,610043,554327,,79483,,-62204,120539,40968,,,,,,
,,,1319,東陽,,,,146346,,,,,,,,,,,1.62,1,,上市,115,246396,,,,,,,,942021,,1088367,,,,,,956054,-14033,,,887491,,300926,3800450,5630744,1830294,1830294,942803,,1188417,,1089772,-1405,942021,,,,,,
,,,1321,大洋,,,,66801,,,,,,,,,,,0.16,1,,上市,115,58043,,,,,,,,35116,,101917,,,,,,35116,,,,20883,,72276,775417,880894,105477,105477,84594,,93159,,101917,,35116,,,,,,
,,,1323,永裕,,,,62952,,,,,,,,,,,0.36,1,,上市,115,5647,,,,,,,,32509,,95461,,,,,,32509,,,,23645,,14511,431978,530894,98916,98916,75271,,38156,,95461,,32509,,,,,,
,,,1324,地球,,,,4021,,,,,,,,,,,-0.06,1,,上市,115,846,,,,,,,,-4503,,-482,,,,,,-4503,,,,-5261,,1604,142376,169793,27417,27417,32678,,-3657,,-482,,-4503,,,,,,
,,,1325,恆大,,,,10308,,,,,,,,,,,-0.08,1,,上市,115,-850,,,,,,,,-7618,,2690,,,,,,-6822,-796,,,-21793,,13325,68693,57239,-11454,-11454,10339,,-8468,,903,1787,-7618,,,,,,
,,,1326,台化,,,,27374243,,,,,,,,,,,1.07,1,,上市,115,759958,,,,,,,,6534544,,33908787,,,,,,6245039,289505,,,3120431,,4174071,75422038,81749811,6327773,6327773,3207342,,7294502,,31288970,2619817,6534544,,,,,,
,,,1337,再生-KY,,,,106974,,,,,,,,,,,-0.43,1,,上市,115,,,,,,,,,-114955,,-7981,,,,,,-114955,,,,-98278,,-16677,165554,152344,-13210,-13210,85068,,-114955,,-7981,,-114955,,,,,,
,,,1338,廣華-KY,,,,146357,,,,,,,,,,,-1.15,1,,上市,115,7770,,,,,,,,-85547,,60810,,,,,,-93232,7685,,,-54159,,-23618,865674,1155491,289817,289817,343976,,-77777,,50653,10157,-85547,,,,,,
,,,1339,昭輝,,,,15510,,,,,,,,,,,2.78,1,,上市,115,15507,,,,,,,,223783,,239293,,,,,,206388,17395,,,-1039,,240329,297520,394676,97156,97156,98195,,239290,,219264,20029,223783,,,,,,
,,0,1340,勝悅-KY,,,,85964,,,,,,,,,,,-0.30,1,,上市,115,0,,,,,,,,-45640,,40324,,,,,,-45640,,,,-43109,,-2531,32163,11435,-20728,-20728,22381,,-45640,,40324,,-45640,,,,,,
,,,1341,富林-KY,,,,21050,,,,,,,,,,,1.62,1,,上市,115,18948,,,,,,,,85775,,106825,,,,,,85775,,,,103167,,1556,510287,680910,170623,170623,67456,,104723,,106825,,85775,,,,,,
,,,1342,八貫,,,,,,,,,,,,,,,2.08,1,,上市,115,40597,,,,,,,,162191,,162191,,,,,,,,,,186743,,16045,667755,917285,249530,249530,62787,,202788,,,,162191,,,,,,
,,,1402,遠東新,322993,,,2830482,,,,,,,,,,,0.61,1,,上市,115,1579509,,,,,,,,5553344,,8383826,,,,,,3092903,2460441,,,4896381,,2236472,47873266,61298588,13425322,13425322,8851934,,7132853,,5748351,2635475,5553344,,,,,,
,,,1409,新纖,,,1023340,,,,,,,,,,,,0.39,1,,上市,115,209690,,8915242,,10013245,,,,888313,,1911653,,,,,,627489,260824,,,,,,,,,,,,,,1714449,197204,888313,,,,1098003,,
,,,1410,南染,,,,0,,,,,,,,,,,0.03,1,,上市,115,1966,,,,,,,,402,,402,,,,,,1801,-1399,,,-1046,,3414,33874,49535,15661,15661,16707,,2368,,1801,-1399,402,,,,,,
,,,1413,宏洲,,,,0,,,,,,,,,,,-0.13,1,,上市,115,0,,,,,,,,-16971,,-16971,,,,,,,,,,-14752,,-2219,441716,437912,-3804,-3804,10948,,-16971,,,,-16971,,,,,,
,,,1414,東和,,,,-12233,,,,,,,,,,,0.06,1,,上市,115,382,,,,,,,,10995,,-1238,,,,,,10995,,,,-7033,,18410,100856,113452,12596,12596,19629,,11377,,-1238,,10995,,,,,,
,,,1416,廣豐,,,,80951,,,,,,,,,,,0.18,1,,上市,115,10052,,,,,,,,36211,,117162,,,,,,32464,3747,,,-1172,,47435,69135,106290,37155,37155,38327,,46263,,113415,3747,36211,,,,,,
,,,1417,嘉裕,,,,37456,,,,,,,,,,,-0.22,1,,上市,115,,,,,,,,,-42318,,-4862,,,,,,-42318,,,,-1988,,-40330,24480,73795,49315,49315,51303,,-42318,,-4862,,-42318,,,,,,
,,,1418,東華,,,,601,,,,,,,,,,,-0.75,1,,上市,115,0,,,,,,,,-40900,,-40299,,,,,,-40899,-1,,,-22772,,-18128,701,648,-53,-53,22719,,-40900,,-40298,-1,-40900,,,,,,
,,,1419,新紡,,,,117494,,,,,,,,,,,9.37,1,,上市,115,127257,,,,,,,,2805070,,2922564,,,,,,2805070,,,,152661,,2779666,1077282,1453047,375765,375765,223104,,2932327,,2922564,,2805070,,,,,,
,,,1423,利華,,,,14185,,,,,,,,,,,0.15,1,,上市,115,2169,,,,,,,,15353,,29538,,,,,,,,,,-631,,18153,23400,31233,7833,7833,8464,,17522,,,,15353,,,,,,
,,,1432,大魯閣,,,,-8648,,,,,,,,,,,-0.54,1,,上市,115,0,,,,,,,,-62628,,-71276,,,,,,-58165,-4463,,,-52748,,-9880,165389,198079,32690,32690,85438,,-62628,,-66813,-4463,-62628,,,,,,
,,,1434,福懋,,,,3586162,,,,,,,,,,,0.20,1,,上市,115,49552,,,,,,,,336603,,3922765,,,,,,336603,0,,,198663,,187492,6199209,6979321,780112,780112,581449,,386155,,3922765,0,336603,,,,,,
,,,1435,中福,,,,958,,,,,,,,,,,-0.08,1,,上市,115,0,,,,,,,,-11624,,-10666,,,,,,,,,,-9194,,-2430,537,1495,958,958,10152,,-11624,,,,-11624,,,,,,
,,,1436,華友聯,,,,1872,,,,,,,,,,,-0.31,1,,上市,115,-6939,,,,,,,,-60674,,-58802,,,,,,-60198,-476,,,-11695,,-55918,36879,72625,35746,35746,47441,,-67613,,-58326,-476,-60674,,,,,,
,,,1437,勤益控,,,,-31740,,,,,,,,,,,0.68,1,,上市,115,25845,,,,,,,,138276,,106536,,,,,,138012,264,,,81756,,82365,67065,173801,106736,106736,24980,,164121,,106272,264,138276,,,,,,
,,,1438,三地開發,,,,-532,,,,,,,,,,,0.65,1,0,上市,115,15498,,,,,,0,,71826,,71294,,,,,,,,,,122347,,-35023,228136,377477,149341,149341,26994,,87324,,,,71826,,,,,,
,,,1439,雋揚,,,,2420,,,,,,,,,,,0.59,1,,上市,115,1630,,,,,,,,58106,,60526,,,,,,54161,3945,,,4904,,54832,53048,75912,22864,22864,17960,,59736,,56581,3945,58106,,,,,,
,,,1440,南紡,,,,588174,,,,,,,,,,,-0.05,1,,上市,115,8778,,,,,,,,-73553,,514621,,,,,,-78150,4597,,,-129416,,64641,3078389,3372657,294268,294268,423684,,-64775,,503826,10795,-73553,,,,,,
,,,1441,大東,,,,6727,,,,,,,,,,,-0.62,1,,上市,115,0,,,,,,,,-44777,,-38050,,,,,,-44777,0,,,-32285,,-12492,285026,289127,4101,4101,36386,,-44777,,-38050,0,-44777,,,,,,
,,,1442,名軒,,,,77,,,,,,,,,,,0.23,1,,上市,115,19596,,,,,,,,85702,,85779,,,,,,85702,,,,104031,,1267,151443,302076,150633,150633,46602,,105298,,85779,,85702,,,,,,
,,,1443,立益物流,,,,-107703,,,,,,,,,,,0.52,1,,上市,115,14952,,,,,,,,72766,,-34937,,,,,,70109,2657,,,81085,,6633,117817,225243,107426,107426,26341,,87718,,-14491,-20446,72766,,,,,,
,,2690,1444,力麗,,,,16918,,,,,,,,,,,0.07,1,0,上市,115,9996,,,,,,533,,65516,,82434,,,,,,71838,-6322,,,-14004,,86826,2005573,2121686,116113,115580,129584,,72822,,84619,-2185,62826,,,,,,
,,,1445,大宇,,,,11951,,,,,,,,,,,0.03,1,,上市,115,993,,,,,,,,3972,,15923,,,,,0,3972,0,,,4008,,957,128895,171054,42159,42159,38151,,4965,,15923,,3972,,,,,,
,,,1446,宏和,,,,-969,,,,,,,,,,,0.50,1,,上市,115,2584,,,,,,,,68353,,67384,,,,,,68353,,,,40375,,30562,110036,180694,70658,70658,30283,,70937,,67384,,68353,,,,,,
,,,1447,力鵬,,,,29471,,,,,,,,,,,0.10,1,1079,上市,115,16636,,,,,,1170,,90513,,119984,,,,,,85545,4968,,,57979,,49170,7856823,8071598,214775,214684,156705,,107149,,106261,13723,90513,,,,,,
,,,1449,佳和,,,,59117,,,,,,,,,,,-0.23,1,,上市,115,13943,,,,,,,,-27899,,31218,,,,,,-28630,731,,,-60098,,46142,713744,793579,79835,79835,139933,,-13956,,30224,994,-27899,,,,,,
,,,1451,年興,,,,76254,,,,,,,,,,,0.47,1,,上市,115,24897,,,,,,,,92289,,168543,,,,,,92289,,,,90072,,27114,1276616,1528005,251389,251389,161317,,117186,,168543,,92289,,,,,,
,,,1452,宏益,,,,-7454,,,,,,,,,,,-0.09,1,,上市,115,-447,,,,,,,,-11619,,-19073,,,,,,-11619,,,,-11536,,-530,317486,328337,10851,10851,22387,,-12066,,-19073,,-11619,,,,,,
,,,1453,大將,,,,,,,,,,,,,,,-0.05,1,,上市,115,,,,,,,,,-5275,,-5275,,,,,,-5295,20,,,-8463,,3188,136,377,241,241,8704,,-5275,,-5295,20,-5275,,,,,,
,,,1454,台富,-51,,,-7180,,,,,,,,,,,-0.20,1,,上市,115,639,,,,,,,,-23966,,-31146,,,,,,-23966,0,,,-28536,,5209,282992,294179,11187,11187,39672,,-23327,,-31146,0,-23966,,,,,,
,,,1455,集盛,,,,-24627,,,,,,,,,,,-0.05,1,,上市,115,-5368,,,,,,,,-26781,,-51408,,,,,,-26781,,,,-45175,,13026,1238835,1265739,26904,26904,72079,,-32149,,-51408,,-26781,,,,,,
,,,1456,怡華,,,,,,,,,,,,,,,-0.43,1,,上市,115,755,,,,,,,,-40651,,-40651,,,,,,-40651,,,,54719,,-94615,132068,218947,86879,86879,32160,,-39896,,-40651,,-40651,,,,,,
,,,1457,宜進,89665,,,-17396,,,,,,,,,,,0.20,1,,上市,115,29856,,,,,,,,31742,,14346,,,,,,46864,-15122,,,80881,,-19283,608974,647286,38312,38312,47096,,61598,,27907,-13561,31742,,,,,,
,,0,1459,聯發,,,,15988,,,,,,,,,,,0.03,1,,上市,115,11327,,,,,,,,9664,,25652,,,,,,10929,-1265,,,24305,,-3314,187520,231160,43640,43640,19335,,20991,,26856,-1204,9664,,,,,,
,,,1460,宏遠,66,,,19710,,,,,,,,,,,0.02,1,,上市,115,10993,,,,,,,,13270,,32980,,,,,,13270,0,,,11835,,12428,1397693,1697865,300172,300172,288403,,24263,,32980,,13270,,,,,,
,,,1463,強盛新,,,,7731,,,,,,,,,,,-0.01,1,,上市,115,5583,,,,,,,,-2488,,5243,,,,,,-1586,-902,,,-5748,,8843,52098,62815,10717,10717,16465,,3095,,6145,-902,-2488,,,,,,
,,,1464,得力,-324,,,114203,,,,,,,,,,,0.30,1,,上市,115,41031,,,,,,,,124089,,238292,,,,,,128552,-4463,,,105075,,60045,2363881,2987876,623995,623995,518596,,165120,,232519,5773,124089,,,,,,
,,,1465,偉全,,,,,,,,,,,,,,,0.27,1,,上市,115,-18971,,,,,,,,28088,,28088,,,,,,,,,,-13544,,22661,96159,98482,2323,2323,15867,,9117,,,,28088,,,,,,
,,,1466,聚隆,,,,3050,,,,,,,,,,,0.17,1,,上市,115,-2240,,,,,,,,21257,,24307,,,,,,18530,2727,,,8437,,10580,478561,547834,69273,69273,60836,,19017,,21580,2727,21257,,,,,,
,,,1467,南緯,,,,-4313,,,,,,,,,,,0.11,1,,上市,115,15488,,,,,,,,27696,,23383,,,,,,25429,2267,,,6454,,36730,948815,1182469,233654,233654,227200,,43184,,22004,1379,27696,,,,,,
,,,1468,昶和,,,,17289,,,,,,,,,,,0.17,1,,上市,115,10255,,,,,,,,27321,,44610,,,,,,27394,-73,,,6858,,30718,94564,127625,33061,33061,26203,,37576,,42379,2231,27321,,,,,,
,,,1470,大統新創,-9,,,304,,,,,,,,,,,0.31,1,,上市,115,6523,,,,,,,,26671,,26975,,,,,,26671,,,,23476,,9718,139675,191305,51630,51630,28145,,33194,,26975,,26671,,,,,,
,,,1471,首利,,,,1157,,,,,,,,,,,-0.03,1,,上市,115,0,,,,,,,,-3809,,-2652,,,,,,-3799,-10,,,-31799,,27990,26471,22014,-4457,-4457,27342,,-3809,,-4915,2263,-3809,,,,,,
,,,1472,三洋實業,,,,-19858,,,,,,,,,,,1.78,1,,上市,115,16387,,,,,,,,93494,,73636,,,,,,93494,0,,,106392,,3489,780219,914324,134105,134105,27713,,109881,,73636,0,93494,,,,,,
,,,1473,台南,,,,49901,,,,,,,,,,,0.69,1,,上市,115,22323,,,,,,,,100342,,150243,,,,,,100342,,,,103223,,19442,1599084,1959149,360065,360065,256842,,122665,,150243,,100342,,,,,,
,,,1474,弘裕,,,,39778,,,,,,,,,,,0.09,1,,上市,115,-13,,,,,,,,10001,,49779,,,,,,11478,-1477,,,-5242,,15230,615674,691030,75356,75356,80598,,9988,,50870,-1091,10001,,,,,,
,,,1475,業旺,,,,3674,,,,,,,,,,,0.88,1,,上市,115,14573,,,,,,,,57885,,61559,,,,,,57885,,,,42420,,30038,285729,347966,62237,62237,19817,,72458,,61559,,57885,,,,,,
,,,1476,儒鴻,,,,147516,,,,,,,,,,,6.69,1,,上市,115,456173,,,,,,,,1834516,,1982032,,,,,,1834516,,,,2194913,,95776,6526334,9621070,3094736,3094736,899823,,2290689,,1982032,,1834516,,,,,,
,,,1477,聚陽,,,,102550,,,,,,,,,,,4.35,1,,上市,115,279477,,,,,,,,1077406,,1179956,,,,,,1073207,4199,,,1377342,,-20459,6570953,8896989,2326036,2326036,948694,,1356883,,1175335,4621,1077406,,,,,,
,,,1503,士電,,,,231897,,,,,,,,,,,2.79,1,,上市,115,411704,,,,,,,,1515633,,1747530,,,,,,1453522,62111,,,1854855,,72482,8811059,11558778,2747719,2747719,892864,,1927337,,1670657,76873,1515633,,,,,,
,,,1504,東元,,,,-4147248,,,,,,,,,,,0.51,1,9855,上市,115,343200,,,,,,9035,,1238690,,-2908558,,,,,,1188154,50536,,,1178530,,403360,10893613,14235194,3341581,3342401,2163871,,1581890,,-2840360,-68198,1238690,,,,,,
,,,1506,正道,,,,5575,,,,,,,,,,,0.02,1,,上市,115,1390,,,,,,,,5319,,10894,,,,,,5179,140,,,6172,,537,239529,290125,50596,50596,44424,,6709,,8944,1950,5319,,,,,,
,,,1512,瑞利,,,,9431,,,,,,,,,,,0.09,1,,上市,115,0,,,,,,,,8480,,17911,,,,,,8480,,,,-15139,,23619,218987,321113,102126,102126,117265,,8480,,17911,,8480,,,,,,
,,,1513,中興電,,,,-100105,,,,,,,,,,,1.94,1,,上市,115,257948,,,,,,,,960263,,860158,,,,,,956493,3770,,,1203389,,14822,4804662,6490639,1685977,1685977,482588,,1218211,,850137,10021,960263,,,,,,
,,,1514,亞力,,,,7182,,,,,,,,,,,0.73,1,751,上市,115,46932,,,,,,,,200461,,207643,,,,,,198005,2456,,,211127,,36266,2083105,2526342,443237,443988,232861,,247393,,205291,2352,200461,,,,,,
,,,1515,力山,,,,19688,,,,,,,,,,,0.07,1,,上市,115,3226,,,,,,,,11553,,31241,,,,,,12904,-1351,,,-4490,,19269,895526,1050350,154824,154824,159314,,14779,,31131,110,11553,,,,,,
,,,1516,川飛,,,,0,,,,,,,,,,,-0.05,1,,上市,115,-2,,,,,,,,-2088,,-2088,,,,,,,,,,-2315,,225,24618,26221,1603,1603,3918,,-2090,,,,-2088,,,,,,
