保險負債準備淨變動,停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他綜合損益（稅後淨額）,其他綜合損益（稅後）,利息以外淨損益,利息以外淨收益,利息淨收益,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,呆帳費用、承諾及保證責任準備提存,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,所得稅（費用）利益,支出,支出及費用,收入,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期稅後淨利（淨損）,本期綜合損益總額,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,淨收益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,繼續營業單位本期純益（純損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅前純益（純損）
,,1312,國喬,,,303643,,,,,,,,,,-1.14,3,,上市,112,-179742,,,,,,,,-1018895,,-715252,,,,,,-1027722,8827,,,-641214,,-557423,11511402,11983288,471886,471886,1113100,,-1198637,,-669391,-45861,-1018895,,,,,
,,1313,聯成,,,4221701,,,,,,,,,,-0.07,3,,上市,112,144420,,,,,,,,-91395,,4130306,,,,,,-91395,,,,-55516,,108541,51597731,53343275,1745544,1745544,1801060,,53025,,4130306,,-91395,,,,,
,,1314,中石化,,,640968,,,,,,,,,,-0.63,3,,上市,112,20209,,,,,,,,-2403465,,-1762497,,,,,,-2388119,-15346,,,-2436538,,53282,20037199,19039599,-997600,-997600,1438938,,-2383256,,-1747349,-15148,-2403465,,,,,
,,1315,達新,,,79998,,,,,,,,,,4.16,3,,上市,112,38246,,,,,,,,398797,,478795,,,,,,397023,1774,,,39545,,397498,1401288,1693225,291937,291937,252392,,437043,,476681,2114,398797,,,,,
,,1316,上曜,,,-1625,,,,,,,,,,-0.50,3,,上市,112,-3472,,,,,,,,-95128,,-96753,,,,,,-99453,4325,,,-123231,,24631,544785,654698,109913,109913,233144,,-98600,,-101524,4771,-95128,,,,,
,,1319,東陽,,,382951,,,,,,,,,,3.76,3,,上市,112,573607,,,,,,,,2241169,,2624120,,,,,,2222663,18506,,,2534714,,280062,12345482,17303529,4958047,4958047,2423333,,2814776,,2606353,17767,2241169,,,,,
,,1321,大洋,,,95845,,,,,,,,,,0.90,3,,上市,112,7745,,,,,,,,198463,,294308,,,,,,198463,,,,-8136,,214344,3348657,3608325,259668,259668,267804,,206208,,294308,,198463,,,,,
,,1323,永裕,,,46488,,,,,,,,,,0.71,3,,上市,112,32494,,,,,,,,129745,,176233,,,,,,64447,65298,,,154348,,7891,2028360,2504095,475735,475735,321387,,162239,,110935,65298,129745,,,,,
,,1324,地球,,,346,,,,,,,,,,0.45,3,,上市,112,3586,,,,,,,,33637,,33983,,,,,,33637,0,,,31136,,6087,550869,698240,147371,147371,116235,,37223,,33983,0,33637,,,,,
,,1325,恆大,,,9422,,,,,,,,,,0.55,3,,上市,112,13596,,,,,,,,43380,,52802,,,,,,46584,-3204,,,-32892,,89868,305757,309927,4170,4170,37062,,56976,,54155,-1353,43380,,,,,
,,1326,台化,,,6392826,,,,,,,,,,1.44,3,,上市,112,196806,,,,,,,,7676694,,14069520,,,,,,8430210,-753516,,,-3392084,,11265584,237382401,245021791,7639390,7639390,11031474,,7873500,,14238738,-169218,7676694,,,,,
,,1337,再生-KY,,,6315,,,,,,,,,,-1.13,3,,上市,112,0,,,,,,,,-303019,,-296704,,,,,,-303019,0,,,-299667,,-3352,669039,540340,-128699,-128699,170968,,-303019,,-296704,0,-303019,,,,,
,,1338,廣華-KY,,,131011,,,,,,,,,,-1.49,3,,上市,112,45236,,,,,,,,-127552,,3459,,,,,,-125017,-2535,,,32544,,-114860,3258364,4190637,932273,932273,899729,,-82316,,-34811,38270,-127552,,,,,
,,1339,昭輝,,,-2792,,,,,,,,,,4.54,3,,上市,112,89993,,,,,,,,333748,,330956,,,,,,336872,-3124,,,255447,,168294,1036340,1505205,468865,468865,213418,,423741,,333870,-2914,333748,,,,,
,0,1340,勝悅-KY,,,-27397,,,,,,,,,,-1.87,3,,上市,112,-2089,,,,,,,,-286700,,-314097,,,,,,-286700,,,,-307565,,18776,586873,424427,-162446,-162446,145119,,-288789,,-314097,,-286700,,,,,
,,1341,富林-KY,,,16061,,,,,,,,,,3.46,3,,上市,112,53578,,,,,,,,177656,,193717,,,,,,177656,,,,226236,,4998,1475354,1879548,404194,404194,177958,,231234,,193717,,177656,,,,,
,,1342,八貫,0,,,,,,,,,,,,5.68,3,,上市,112,93499,,,,,,,,398974,,398974,,,,,,,,,,444857,,47616,1305642,1908340,602698,602698,157841,,492473,,,,398974,,,,,
,,1402,遠東新,598203,,7370490,,,,,,,,,,1.14,3,278,上市,112,2861839,,,,,,,,11055519,,18426009,,,,,,5714753,5340766,,,10902099,,3015259,155272442,190241027,34968585,34968863,24664967,,13917358,,12510528,5915481,11055519,,,,,
,,1409,新纖,,1293327,,,,,,,,,,,0.41,3,,上市,112,329160,,28350795,,29730799,,,,1050844,,2344171,,,,,,667404,383440,,,,,,,,,,,,,,1962110,382061,1050844,,,,1380004,
,,1410,南染,,,-624,,,,,,,,,,0.32,3,,上市,112,6376,,,,,,,,19206,,18582,,,,,,20315,-1109,,,-17669,,43251,124333,166012,41679,41679,59348,,25582,,19691,-1109,19206,,,,,
,,1413,宏洲,0,,0,,,,,,,,,,-0.83,3,,上市,112,0,,,,,,,,-109243,,-109243,,,,,,,,,,-112378,,3135,1518839,1450311,-68528,-68528,43850,,-109243,,,,-109243,,,,,
,,1414,東和,,,32664,,,,,,,,,,0.10,3,,上市,112,-3930,,,,,,,,22833,,55497,,,,,,,,,,-37160,,56063,400845,421819,20974,20974,58134,,18903,,,,22833,,,,,
,,1416,廣豐,,,-77375,,,,,,,,,,0.64,3,,上市,112,34632,,,,,,,,125094,,47719,,,,,,118229,6865,,,-13399,,173125,138250,212254,74004,74004,87403,,159726,,40854,6865,125094,,,,,
,-3279,1417,嘉裕,,,13239,,,,,,,,,,0.08,3,,上市,112,1713,,,,,,,,14920,,28159,,,,,,14920,,,,-65385,,85297,721069,1071159,350090,350090,415475,,19912,,28159,,18199,,,,,
,,1418,東華,1215,,-853,,,,,,,,,,-1.37,3,,上市,112,0,,,,,,,,-74186,,-75039,,,,,,-74180,-6,,,-51209,,-22977,12931,16997,4066,4066,56490,,-74186,,-75033,-6,-74186,,,,,
,,1419,新紡,0,,601996,,,,,,,,,,1.83,3,,上市,112,118217,,,,,,,,548093,,1150089,,,,,,548093,,,,220021,,446289,1655583,2328457,672874,672874,452853,,666310,,1150089,,548093,,,,,
,,1423,利華,,,98625,,,,,,,,,,0.62,3,,上市,112,24737,,,,,,,,81161,,179786,,,,,,,,,,-62177,,168075,127759,91275,-36484,-36484,25693,,105898,,,,81161,,,,,
,,1432,大魯閣,,,-10645,,,,,,,,,,0.76,3,,上市,112,-1585,,,,,,,,63441,,52796,,,,,,67766,-4325,,,92602,,-30746,571426,1014959,443533,443533,350931,,61856,,57121,-4325,63441,,,,,
,,1434,福懋,,,737474,,,,,,,,,,0.36,3,,上市,112,107955,,,,,,,,597856,,1335330,,,,,,597856,0,,,240967,,464844,20053604,22025137,1971533,1971533,1730566,,705811,,1335330,0,597856,,,,,
,,1435,中福,,,-1587,,,,,,,,,,-0.24,3,,上市,112,-71,,,,,,0,,-33717,,-35304,,,,,,,,,,-43380,,9592,644,6613,5969,5969,49349,,-33788,,,,-33717,,,,,
,,1436,華友聯,,,3549,,,,,,,,,,-0.27,3,,上市,112,8349,,,,,,,,-32538,,-28989,,,,,,-26474,-6064,,,27828,,-52017,129145,297331,168186,168186,140358,,-24189,,-22925,-6064,-32538,,,,,
,,1437,勤益控,,,-15863,,,,,,,,,,2.25,3,,上市,112,57208,,,,,,,,456796,,440933,,,,,,456631,165,,,354764,,159240,253282,676622,423340,423340,68576,,514004,,440768,165,456796,,,,,
,,1438,三地開發,,,,,,,,,,,,,-0.41,3,,上市,112,13444,,,,,,,,-37701,,-37701,,,,,,,,,,27916,,-52173,244237,299747,55510,55510,27594,,-24257,,,,-37701,,,,,
,,1439,雋揚,,,39895,,,,,,,,,,1.37,3,,上市,112,3932,,,,,,,,140458,,180353,,,,,0,126491,13967,,,1553,,142837,97410,147441,50031,50031,48478,,144390,0,166386,13967,140458,,,,,
,,1440,南紡,,,625754,,,,,,,,,,-0.37,3,,上市,112,-153817,,,,,,,,-559040,,66714,,,,,,-620694,61654,,,-1057895,,345038,14726426,15017500,291074,291074,1348969,,-712857,,-592,67306,-559040,,,,,
,,1441,大東,,,7617,,,,,,,,,,-3.51,3,,上市,112,-992,,,,,,,,-247007,,-239390,,,,,,-221896,-25111,,,-275013,,27014,1027794,876183,-151611,-151611,123402,,-247999,,-215421,-23969,-247007,,,,,
,,1442,名軒,,,458,,,,,,,,,,0.71,3,,上市,112,47574,,,,,,,,260916,,261374,,,,,,260916,,,,332931,,-24441,544338,1013434,469096,469096,136165,,308490,,261374,,260916,,,,,
,,1443,立益物流,,,41431,,,,,,,,,,1.26,3,,上市,112,-548,,,,,,,,121559,,162990,,,,,,170039,-48480,,,188962,,-67951,302799,570375,267576,267576,78614,,121011,,211470,-48480,121559,,,,,
,,1444,力麗,,,200148,,,,,,,,,,0.01,3,9604,上市,112,18155,,,,,,,,-12335,,187813,,,,,,11043,-23378,,,-449359,,455179,6595800,6554198,-41602,-31998,417361,,5820,,169883,17930,-12335,,,,,
,,1445,大宇,,,89810,,,,,,,,,,0.31,3,,上市,112,9359,,,,,,,,40164,,129974,,,,,,40164,,,,28928,,20595,883751,1051615,167864,167864,138936,,49523,,129974,,40164,,,,,
,,1446,宏和,,,-3029,,,,,,,,,,-0.19,3,,上市,112,89,,,,,,,,-25827,,-28856,,,,,,-25827,,,,-33976,,8238,89815,98488,8673,8673,42649,,-25738,,-28856,,-25827,,,,,
,,1447,力鵬,,,183965,,,,,,,,,,-0.19,3,,上市,112,-6573,,,,,,387,,-157638,,26327,,,,,,-165143,7505,,,-486048,,321837,22460244,22543324,83080,82693,568741,,-164211,,-24022,50349,-157638,,,,,
,,1449,佳和,,,7097,,,,,,,,,,0.75,3,,上市,112,41703,,,,,,,,83195,,90292,,,,,,62785,20410,,,-1754,,126652,1749440,2034576,285136,285136,286890,,124898,,70125,20167,83195,,,,,
,,1451,年興,,,137768,,,,,,,,,,-1.23,3,,上市,112,-55235,,,,,,,,-244499,,-106731,,,,,,-244499,,,,-418113,,118379,4943185,4886282,-56903,-56903,361210,,-299734,,-106731,,-244499,,,,,
,,1452,宏益,,,29302,,,,,,,,,,0.21,3,,上市,112,4233,,,,,,,,28014,,57316,,,,,,28014,,,,-50012,,82259,813046,834721,21675,21675,71687,,32247,,57316,,28014,,,,,
,,1453,大將,,,,,,,,,,,,,0.04,3,,上市,112,-620,,,,,,,,4347,,4347,,,,,,4303,44,,,-25345,,29072,376,513,137,137,25482,,3727,,4303,44,4347,,,,,
,,1454,台富,-276,,16589,,,,,,,,,,0.18,3,,上市,112,-1345,,,,,,,,22522,,39111,,,,,,22521,1,,,3028,,18149,1046270,1169212,122942,122942,119638,,21177,,39110,1,22522,,,,,
,,1455,集盛,,,-151,,,,,,,,,,-0.52,3,,上市,112,-52675,,,,,,,,-275446,,-275597,,,,,,-275446,,,,-493345,,165224,5666351,5463353,-202998,-202998,290347,,-328121,,-275597,,-275446,,,,,
,,1456,怡華,,,,,,,,,,,,,0.56,3,,上市,112,2627,,,,,,,,52695,,52695,,,,,,52695,,,,335875,,-280553,967094,1449298,482204,482204,146329,,55322,,52695,,52695,,,,,
,,1457,宜進,112735,,-12579,,,,,,,,,,0.17,3,,上市,112,150670,,,,,,,,-119893,,-132472,,,,,,36916,-156809,,,124828,,-94051,2151448,2288210,136762,136762,124669,,30777,,30559,-163031,-119893,,,,,
,,1459,聯發,,,-94223,,,,,,,,,,0.26,3,,上市,112,5511,,,,,,,,83892,,-10331,,,,,,83892,0,,,-220805,,310208,905088,765261,-139827,-139827,80978,,89403,,-10331,0,83892,,,,,
,,1460,宏遠,5273,,28738,,,,,,,,,,-0.84,3,,上市,112,33800,,,,,,,,-564086,,-535348,,,,,,-564085,-1,,,-477481,,-52805,5068278,5555328,487050,487050,969804,,-530286,,-535347,-1,-564086,,,,,
,,1463,強盛新,,,40871,,,,,,,,,,0.46,3,,上市,112,6786,,,,,,,,76515,,117386,,,,,,75878,637,,,-41370,,124671,247806,258558,10752,10752,52122,,83301,,112431,4955,76515,,,,,
,,1464,得力,-5218,,174304,,,,,,,,,,0.10,3,,上市,112,4123,,,,,,,,83327,,257631,,,,,,42449,40878,,,-54447,,141897,6191161,7246668,1055507,1055507,1104736,,87450,,190644,66987,83327,,,,,
,,1465,偉全,,,,,,,,,,,,,0.79,3,,上市,112,10553,,,,,,,,82014,,82014,,,,,,,,,,-1524,,94091,377402,436176,58774,58774,60298,,92567,,,,82014,,,,,
,0,1466,聚隆,,,1176,,,,,,,,,,-1.27,3,,上市,112,-9531,,,,,,,,-141384,,-140208,,,,,,-141384,0,,,-153669,,2754,1740883,1760724,19841,19841,173510,,-150915,,-140208,0,-141384,,,,,
,,1467,南緯,,,-4145,,,,,,,,,,-0.70,3,,上市,112,78085,,,,,,,,-153688,,-157833,,,,,,-162429,8741,,,-157145,,81542,2933157,3509766,576609,576609,733754,,-75603,,-166580,8747,-153688,,,,,
