保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
1231333,,8032,光菱,,579650,,4,上櫃,113,,,,2384939,,2379843,,0,,45.93,863310,2007075,518103,1010365,50757,3395304,5096,147055,1388229,0
122961,,8034,榮群,,-9570,,4,上櫃,113,-5054,0,,678658,,678658,,354057,,12.07,102470,771678,565863,113169,4458,791827,,10699,20149,0
-329224,,8038,長園科,,,,4,上櫃,113,-19489,0,,473635,,404429,,596000,,6.49,376246,452200,628742,601063,124400,1074698,69206,224817,622498,0
-140282,,8040,九暘,,0,,4,上櫃,113,,0,,2502361,,,,0,,25.95,135846,2300521,964139,153761,1678504,2656122,,17915,355601,0
1559948,,8042,金山電,,-22233,,4,上櫃,113,,0,,4138935,,4063025,,0,,31.38,3616996,5321755,1294625,4795152,1230685,8934087,75910,1178156,3612332,0
1605199,,8043,蜜望實,,-22371,,4,上櫃,113,0,0,,2698797,,2698797,,0,,33.77,1312576,3632124,799072,1493451,316897,4192248,,180875,560124,0
-570795,,8044,網家,,59036,,4,上櫃,113,-210502,0,,8008563,,5770266,,2779000,,40.87,11956153,11636706,1439529,18427453,5052998,26436016,2238297,6471300,14799310,0
8530,,8047,星雲,,2503,,4,上櫃,113,,0,,436535,,436535,,0,,10.48,97523,358252,416663,97523,8839,534058,,,175806,0
549529,,8048,德勝,,-14229,,4,上櫃,113,-2341,,,1149766,,1149766,,78000,,19.92,238877,1097336,577838,240634,38969,1390400,,1757,293064,0
814447,,8049,晶采,,178764,,4,上櫃,113,0,0,,2207480,,2207480,,0,,18.66,264594,1353702,1182798,281526,31471,2489006,0,16932,1135304,0
2567169,,8050,廣積,,471914,,4,上櫃,113,-332583,,,8604027,,7662975,,7999000,,38.67,2472972,5953894,2061770,4712331,2894705,13316358,941052,2239359,7362464,104633
-290996,,8054,安國,,3815,,4,上櫃,113,,0,,4314552,,2302905,,0,,23.55,1979590,3296618,977726,2665871,1612360,6980423,2011647,686281,3683805,0
-457971,,8059,凱碩,,-42195,,4,上櫃,113,,0,,1583697,,1583697,,0,,8.19,1357218,2912250,1933565,1387718,150298,2971415,,30500,59165,237500
879602,,8064,東捷,,71077,,4,上櫃,113,,,,3302430,,3065943,,0,,18.60,1976979,4251115,1648178,2477539,467086,5779969,236487,500560,1528854,0
216022,,8066,來思達,,32870,,4,上櫃,113,0,,,680548,,570828,,0,,19.26,795390,1419012,296423,891773,25513,1572321,109720,96383,153309,0
-61398,,8067,志旭,,2761,,4,上櫃,113,,0,,159262,,159262,,0,,7.69,199739,262377,207000,229003,10899,388265,0,29264,125888,0
138728,,8068,全達,0,-7554,,4,上櫃,113,0,,0,1056034,,979762,,0,,12.13,375540,716988,807659,451246,40929,1507280,76272,75706,790292,0
24736387,,8069,元太,,9734096,,4,上櫃,113,,,,57741831,,57052490,,0,,49.69,22858406,33903543,11611227,33409913,10970780,91151744,689341,10551507,57248201,2303040
9349,,8071,能率網通,0,-53426,,4,上櫃,113,,,,966319,,668439,,0,,12.89,1227579,1619904,518543,1561556,193973,2527875,297880,333977,907971,0
445220,,8074,鉅橡,,-41201,,4,上櫃,113,0,,,1587725,,1537379,,0,,18.99,842483,1361464,809745,1243903,323615,2831628,50346,401420,1470164,0
1546055,,8076,伍豐,,-578984,,4,上櫃,113,-277773,,,4573576,,4510526,,9239000,,15.44,1674484,2373538,3014526,2350542,806702,6924118,63050,676058,4550580,0
146174,,8077,洛碁,,0,,4,上櫃,113,,,,411138,,,,0,,18.73,800182,476134,219457,2473367,45507,2884505,,1673185,2408371,0
-132422,,8080,泰霖,,-26449,,4,上櫃,113,,,,472768,,472768,,0,,7.48,103642,491172,631639,103642,0,576410,,,85238,0
666135,,8083,瑞穎,,0,,4,上櫃,113,,0,,1233172,,,,0,,35.10,415383,884616,351332,442693,215705,1675865,,27310,791249,0
-77033,,8084,巨虹,,403,,4,上櫃,113,,0,,631737,,618512,,0,,8.90,237901,437761,695142,681656,0,1313393,13225,443755,875632,0
-17111,,8085,福華,0,299467,,4,上櫃,113,0,,0,1730902,,1730902,,0,,12.37,321321,1504983,1399830,1512930,48716,3243832,0,1191609,1738849,0
1700733,,8086,宏捷科,,,,4,上櫃,113,,0,,7806525,,,,0,,39.72,774970,4222019,1965161,1757609,4140631,9564134,,982639,5342115,0
140542,,8087,麗升能源,,-29718,,4,上櫃,113,,,,830890,,830890,,0,,21.30,434963,952037,390110,586871,329956,1417761,0,151908,465724,0
260366,,8088,品安,,-24195,,4,上櫃,113,0,0,,1023165,,,,0,,16.79,128764,701428,609217,136536,177777,1159701,,7772,458273,0
486833,,8089,康全電訊,,103834,,4,上櫃,113,,,,1428476,,1428476,,0,,24.35,669788,1924628,586655,882544,251154,2311020,,212756,386392,0
1354486,,8091,翔名,,-2600,,4,上櫃,113,0,,,3845240,,3809311,,0,,72.20,550429,3116858,527601,1318508,1929824,5163748,35929,768079,2046890,0
-175577,,8092,建暐,,-733,,4,上櫃,113,,0,,555320,,555275,,0,,9.71,186018,499374,571723,326477,159862,881797,45,140459,382423,0
-329413,,8093,保銳,,-10965,,4,上櫃,113,,0,,317574,,317562,,0,,5.21,172422,353272,609460,187790,48480,505364,12,15368,152092,0
280627,,8096,擎亞,,85264,,4,上櫃,113,,0,,2664254,,2664254,,0,,17.84,6654681,8661393,1493431,6689266,804932,9353520,0,34585,692127,0
114434,,8097,常珵,,10338,,4,上櫃,113,-101581,0,,1414762,,1414762,,1500000,,21.91,117110,736277,660645,210039,730926,1624801,0,92929,888524,0
545861,,8099,大世科,,-3930,,4,上櫃,113,,,,1508319,,1508319,,0,,17.03,1273893,2379679,885600,1478554,80788,2986873,0,204661,607194,0
118431,,8102,傑霖科技,,465,,4,上櫃,113,,0,,342395,,342395,,0,,16.03,110516,348789,213614,133769,9885,476164,,23253,127375,0
720046,,8107,大億金茂,,44483,,4,上櫃,113,,0,,1586460,,1584690,,0,,21.13,509136,938762,750000,1548134,70161,3134594,1770,1038998,2195832,0
1857955,,8109,博大,,-44750,,4,上櫃,113,0,,,3051236,,3051236,,0,,37.14,320894,2425677,821612,603362,416419,3654598,,282468,1228921,0
327508,,8111,立碁,0,-20534,,4,上櫃,113,0,0,,1407369,,1404530,,0,,12.87,746076,1483225,1091022,788593,6534,2195962,2839,42517,712737,0
-20755,,8121,越峰,,-88649,,4,上櫃,113,,,,2746698,,2020583,,0,,9.49,1153625,2490327,2129937,2863718,50,5610416,726115,1710093,3120089,0
229228,,8147,正淩,0,-16299,,4,上櫃,113,0,0,,1340824,,1333964,,0,,32.95,504245,1234258,404880,788432,716155,2129256,6860,284187,894998,55838
1221606,,8155,博智,,-4740,,4,上櫃,113,0,0,,2202950,,2202950,,0,,43.21,1679578,2586785,509805,1687285,476279,3890235,,7707,1303450,0
-109657,,8171,天宇,,20082,,4,上櫃,113,-45833,,,1582625,,1581769,,1114000,,20.72,261548,1348682,774643,830846,942534,2413471,856,569298,1064789,0
-126726,,8176,智捷,,-20537,,4,上櫃,113,-26512,,,556943,,543724,,2520104,,7.86,183963,557049,717010,210636,489,767579,13219,26673,210530,0
1852149,,8182,加高,,138899,,4,上櫃,113,,0,,3819881,,3810722,,0,,35.60,1503920,3260539,1070412,2295969,749262,6115850,9159,792049,2855311,0
2153773,,8183,精星,,-22085,,4,上櫃,113,-34105,,,3541948,,3541948,,500000,,29.33,4459626,6694234,1212511,4602924,231854,8144872,,143298,1450638,0
151597,,8227,巨有科技,,0,,4,上櫃,113,,0,,1122093,,,,0,,28.38,279422,1217873,395430,340064,575066,1462157,,60642,244284,0
1363844,,8234,新漢,,19633,,4,上櫃,113,,0,,3230921,,3171287,,0,,22.46,3169543,4520257,1412265,3501026,375545,6731947,59634,331483,2211690,0
1722602,,8240,華宏,,-48923,,4,上櫃,113,0,,,4814126,,4698229,,0,,46.98,2295080,5298221,1000044,3003362,2024506,7817488,115897,708282,2519267,0
2997023,,8255,朋程,,527529,,4,上櫃,113,,,,9934310,,7937394,,0,,78.02,2964508,5121345,1017335,5695473,3395507,15629783,1996916,2730965,10508438,0
233563,,8272,全景軟體,,,,4,上櫃,113,,,,573003,,,,0,,30.16,210259,769443,189978,215528,149462,788531,,5269,19088,0
-482123,,8277,商丞,0,-11265,,4,上櫃,113,0,0,,486916,,483554,,0,,5.28,66976,292475,916288,165800,60654,652716,3362,98824,360241,0
