不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險合約負債,保險合約負債及再保險合約負債,保險合約資產,保險合約資產及再保險合約資產－淨額,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,再保險合約負債,再保險合約資產,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資性不動產,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,按攤銷後成本衡量之金融資產,採用權益法之投資－淨額,放款,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,避險之金融資產,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,1755059,,,,,,1305,華夏,,,52934,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,8137276,,,,7639522,,0,,13.15,4467737,4861099,,,,,,,,,5810505,,,10269960,,,21024,18407236,,,,,,,,,,,,,,,497754,5802223,13546137,0
,,,,5386754,,,,,,1307,三芳,,,251789,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,9767803,,,,9767803,,0,,24.55,5930220,9782836,,,,,,,,,3978181,,,8277884,,,151079,18045687,,,,,,,,,,,,,,,,2347664,8262851,0
,,,,4401712,,,,,,1308,亞聚,,,654283,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,11032397,,,,11032397,,0,,18.58,1008062,2732713,,,,,,,,,5937438,,,1505156,,,38964,12537553,,,,,,,,,,,,,,,,497094,9804840,0
,,,,1532486,,,,,,1309,台達化,,,250539,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,5762846,,,,5762846,,0,,14.49,2992941,5778535,,,,,,,,,3975868,,,3451260,,,3953,9214106,,,,,,,,,,,,,,,,458319,3435571,0
,,,,729805,,,,,,1310,台苯,,,1203006,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,7469081,,,,7341271,,0,,13.91,2298879,2264426,,,,,,,,,5278698,,,2539776,,,129762,10008857,,,,,,,,,,,,,,,127810,240897,7744431,0
,,,,14740456,,,,,,1312,國喬,,,1466524,,,,,,,,,,,,,,,,,1,上市,115,-49858,,,,,,,,,,,,,,,,,,,,,,,31909656,,,,28498475,,1776000,,25.34,17728005,18480939,,,,,,,,,11266203,,,36965041,,,1075150,68874697,,,,,,,,,,,,,,,3411181,19237036,50393758,0
,,,,1015686,,,,,,1313,聯成,,,13198993,,,,,,,,,,,,,,,,,1,上市,115,0,,,,,,,,,,,,,,,,,,,,,,,28672114,,,,28672114,,0,,21.54,8329694,19273009,,,,,,,,,13308461,,,25914554,,,1148974,54586668,,,,,,,,,,,,,,,,17584860,35313659,0
,,,,37359864,,,,,,1314,中石化,,,-542369,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,76300511,,,,76248003,,0,,20.15,37332389,57442349,,,,,,,,,37848502,,,51812243,,,1582006,128112754,,,,,,,,,,,,,,,52508,14479854,70670405,0
,,,,7581812,,,,,,1315,達新,,,1540363,,,,,,,,,,,,,,,,,1,上市,115,-83230,,,,,0,,,,,,,,,,,,,,,,,,10320359,,,,10286561,,3572068,,107.68,780905,7354156,,,,,,,,,990990,,,994940,,,256626,11315299,,,,,,,,,,,,,,,33798,214035,3961143,0
,,,,-546922,,,,,,1316,上曜,,,1570,,,,,,,,,,,,,,,,,1,上市,115,-57448,,,,,0,,,,,,,,,,,,,,,,,,14005878,,,,4195386,,38583058,,12.44,10662365,17988375,,,,,,,,,3759462,,,12103585,,,1038724,26109463,,,,,,,,,,,,,,,9810492,1441220,8121088,0
,,,,18867898,,,,,,1319,東陽,,,221153,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,29773674,,,,29156021,,0,,49.29,5670104,13192166,,,,,,,,,5914771,,,8580797,,,4152199,38354471,,,,,,,,,,,,,,,617653,2910693,25162305,0
,,,,3393988,,,,,,1321,大洋,,,139698,,,,,,,,,,,,,,,,,1,上市,115,-36189,,,,,0,,,,,,,,,,,,,,,,,,5793798,,,,5793798,,6542716,,26.25,996940,2103160,,,,,,,,,2272283,,,5771280,,,24018,11565078,,,,,,,,,,,,,,,,4774340,9461918,0
,,,,1624550,,,,,,1323,永裕,,,-2796,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,2577056,,,,2577056,,0,,28.23,691151,2570405,,,,,,,,,912745,,,2167294,,,42557,4744350,,,,,,,,,,,,,,,,1476143,2173945,0
,,,,153078,,,,,,1324,地球,,,-13095,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,892069,,,,892069,,0,,11.87,176792,677160,,,,,,,,,751219,,,204100,,,867,1096169,,,,,,,,,,,,,,,,27308,419009,0
,,,,1708629,,,,,,1325,恆大,,,25078,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,2668265,,,,2590145,,0,,30.37,37109,1666352,,,,,,,,,852812,,,89629,,,3626,2757894,,,,,,,,,,,,,,,78120,52520,1091542,0
,,,,185906528,,,,,,1326,台化,,,120153293,,,,,,,,,,,,,,,,,1,上市,115,-323952,,,,,0,,,,,,,,,,,,,,,,,,410967390,,,,373639435,,12169610,,63.88,114054227,214839826,,,,,,,,,58611863,,,170197763,,,9291703,581165153,,,,,,,,,,,,,,,37327955,56143536,366325327,0
,,,,-819751,,,,,,1337,再生-KY,,,-194181,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,3660119,,,,3660119,,0,,13.61,2624744,1632849,,,,,,,,,2689547,,,2690604,,,1984504,6350723,,,,,,,,,,,,,,,,65860,4717874,0
,,,,2635593,,,,,,1338,廣華-KY,,,-296108,,,,,,,,,,,,,,,,,1,上市,115,-92080,,,,,0,,,,,,,,,,,,,,,,,,6269747,,,,5872895,,3081000,,72.72,3877475,5247393,,,,,,,,,838400,,,7683669,,,2787090,13953416,,,,,,,,,,,,,,,396852,3806194,8706023,0
,,,,2239577,,,,,,1339,昭輝,,,-107867,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,4159647,,,,4066318,,0,,54.86,837135,1829193,,,,,,,,,741239,,,1066079,,,1193369,5225726,,,,,,,,,,,,,,,93329,228944,3396533,0
,,,,-978764,,,,,,1340,勝悅-KY,0,,-443730,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,2647549,,,,2647549,,0,,17.31,161902,785498,,,,,,,,,1529229,,,419406,,,2540814,3066955,,,,,,,,,,,,,,,0,257504,2281457,0
,,,,813417,,,,,,1341,富林-KY,,,-331796,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,1186743,,,,1186743,,0,,22.45,978823,1612072,,,,,,,,,528506,,,1009317,,,176616,2196060,,,,,,,,,,,,,,,,30494,583988,0
,,,,643840,,,,,,1342,八貫,,,-7362,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,2092241,,,,,,0,,26.82,1285713,2452379,,,,,,,,,780009,,,1708118,,,675754,3800359,,,,,,,,,,,,,,,,422405,1347980,0
,,,,159483146,,,,,,1402,遠東新,,,8841507,,,,,,,,,,,,,,,,,1,上市,115,-25063,,,,,,,,,,,,,,,,,,,,,,,323578015,,,,235101952,,779000,,43.93,157755773,166621578,,,,,,,,,53528751,,,356159064,,,13273611,679737079,,,,,,,,,,,,,,,88476063,198403291,513115501,0
,,,,15408892,,,,,,1409,新纖,,,8011465,,,,,,,,,,,,,,,,,1,上市,115,-134336,,,,,,,,,,,,,,,,,,,,,,,,53131346,,,41629538,,18492487,,26.02,165890727,169282176,,,,,,,,,16184093,,,185816388,,,2159424,238947734,,,,,,,,,,,,,,,11501808,19925661,69665558,0
,,,,405448,,,,,,1410,南染,,,-3381,,,,,,,,,,,,,,,,,1,上市,115,,,,,,0,,,,,,,,,,,,,,,,,,1079714,,,,1045034,,0,,16.86,61014,653405,,,,,,,,,620000,,,239594,,,22967,1319308,,,,,,,,,,,,,,,34680,178580,665903,0
,,,,-197082,,,,,,1413,宏洲,,,-8703,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,1115339,,,,,,0,,8.44,651436,825475,,,,,,,,,1321124,,,1495194,,,0,2610533,,,,,,,,,,,,,,,,843758,1785058,0
,,,,1049840,,,,,,1414,東和,,,-159594,,,,,,,,,,,,,,,,,1,上市,115,,,,,,,,,,,,,,,,,,,,,,,,2870246,,,,2870246,,0,,14.50,611698,876335,,,,,,,,,1980000,,,1289474,,,0,4159720,,,,,,,,,,,,,,,,677776,3283385,0
