不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險負債,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,具金融商品性質之保險契約準備,再保險合約資產,再保險合約資產－淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,外匯價格變動準備,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,採用權益法之投資－淨額,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,-472560,,,2911,麗嬰房,,,-166950,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,605941,,,,545808,,0,,5.19,1989585,1691881,,,,,,,,,1051260,,,3000401,,,134058,3606342,,,,,,,,,,,,,,60133,1010816,1914461,0
,,,,27229832,,,2912,統一超,,,1184128,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,47980439,,,,38900307,,0,,37.42,113898717,95542736,,,,,,,,,10396223,,,220639786,,,90124,268620225,,,,,,,,,,,,,,9080132,106741069,173077489,0
,,,,2523033,,,2913,農林,,,-50796,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,12570185,,,,,,0,,15.91,725248,1170054,,,,,,,,,7900000,,,8861589,,,2197948,21431774,,,,,,,,,,,,,,,8136341,20261720,0
,,,,96373580,,,2915,潤泰全,,,-28042970,,,,,,,,,,,,,,,,,,,,3,上市,113,-552479,,,,,0,,,,,,,,,,,,,,,,109454216,,,,107073945,,36593388,,100.28,2469054,4701274,,,,,,,,,11043188,,,12303507,,,28252626,121757723,,,,,,,,,,,,,,2380271,9834453,117056449,0
,,,,36029244,,,2923,鼎固-KY,,,-2467595,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,52118618,,,,51156765,,0,,29.40,22218814,75272925,,,,,,,,,17402970,,,82546420,,,192146,134665038,,,,,,,,,,,,,,961853,60327606,59392113,0
,,,,670751,,,2929,淘帝-KY,,,-373567,,,,,,,,,,,,,,,,,,,,3,上市,113,-17152,,,,,,,,,,,,,,,,,,,,,2894992,,,,2894992,,507000,,26.56,504447,3474170,,,,,,,,,1094938,,,812558,,,1520022,3707550,,,,,,,,,,,,,,,308111,233380,0
,,,,-34888,,,2939,永邑-KY,,,-4625,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,749489,,,,749489,,0,,16.45,53736,816995,,,,,,,,,455487,,,279365,,,333515,1028854,,,,,,,,,,,,,,,225629,211859,0
,,,,187063,,,2945,三商家購,,,,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,1935650,,,,1863373,,0,,27.61,2723590,2798860,,,,,,,,,675000,,,4424146,,,1001310,6359796,,,,,,,,,,,,,,72277,1700556,3560936,0
,,,,273714,,,3002,歐格,,,11409,,,,,,,,,,,,,,,,,,,,3,上市,113,-14254,,,,,,,,,,,,,,,,,,,,,1442964,,,,1306969,,1155000,,12.96,151299,1647031,,,,,,,,,1020000,,,469950,,,16100,1912914,,,,,,,,,,,,,,135995,318651,265883,0
,,,,5031192,,,3003,健和興,,,-90637,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,6587114,,,,6524385,,0,,41.92,1141737,6391820,,,,,,,,,1556549,,,1751428,,,27281,8338542,,,,,,,,,,,,,,62729,609691,1946722,0
,,,,1432869,,,3004,豐達科,0,,54,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,0,,,,,,,,,,,,,,,,2584415,,,,2584415,,0,,47.22,1642568,2757222,,,,,,,,,547342,,,3424265,,,604150,6008680,,,,,,,,,,,,,,0,1781697,3251458,0
,,,,12224948,,,3005,神基,,,388858,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,25047940,,,,22638966,,0,,36.80,13167435,27378887,,,,,,,,,6152014,,,17506995,,,3873146,42554935,,,,,,,,,,,,,,2408974,4339560,15176048,0
,,,,7078129,,,3006,晶豪科,,,-30304,,,,,,,,,,,,,,,,,,,,3,上市,113,-140061,,,,,0,,,,,,,,,,,,,,,,10174272,,,,10272968,,13000000,,37.61,5788479,14546644,,,,,,,,,2861722,,,8159203,,,503482,18333475,,,,,,,,,,,,,,-98696,2370724,3786831,0
,,,,167293198,,,3008,大立光,,,4089007,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,174279045,,,,174279045,,0,,1305.77,27228744,130601803,,,,,,,,,1334682,,,27532396,,,1562158,201811441,,,,,,,,,,,,,,,303652,71209638,0
,,,,14158047,,,3010,華立,,,1604565,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,24253412,,,,22245499,,0,,85.75,21254044,35937842,,,,,,,,,2594368,,,28297139,,,3888519,52550551,,,,,,,,,,,,,,2007913,7043095,16612709,0
,,,,148848,,,3011,今皓,,,323147,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,1619099,,,,1603162,,0,,14.22,941507,1060109,,,,,,,,,1127192,,,1193304,,,3975,2812403,,,,,,,,,,,,,,15937,251797,1752294,0
,,,,1345267,,,3013,晟銘電,,,8981,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,0,,,,,,,,,,,,,,,,4073785,,,,4073785,,0,,19.86,3272760,4877813,,,,,,,,,2051389,,,3767428,,,668148,7841213,,,,,,,,,,,,,,0,494668,2963400,0
,,,,3282643,,,3014,聯陽,,,-267897,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,0,,,,,,,,,,,,,,,,6413914,,,,6413914,,0,,38.63,1726526,5724278,,,,,,,,,1660351,,,1908315,,,1738817,8322229,,,,,,,,,,,,,,0,181789,2597951,0
,,,,5609628,,,3015,全漢,,,7699630,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,0,,,,,,,,,,,,,,,,16449810,,,,16046303,,0,,85.69,5008598,10561925,,,,,,,,,1872620,,,5298776,,,864425,21748586,,,,,,,,,,,,,,403507,290178,11186661,0
,,,,490765,,,3016,嘉晶,,,-1615,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,5025342,,,,5025342,,0,,17.42,1860747,4819333,,,,,,,,,2885418,,,2788691,,,1650774,7814033,,,,,,,,,,,,,,,927944,2994700,0
,,,,19699630,,,3017,奇鋐,,,-476944,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,30919233,,,,26644625,,0,,68.75,49902470,65939520,,,,,,,,,4044135,,,57180762,,,3377804,88099995,,,,,,,,,,,,,,4274608,7278292,22160475,4243400
,,,,-420137,,,3018,隆銘綠能,,,360967,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,737946,,,,737946,,0,,10.10,717433,1044927,,,,,,,,,730736,,,967530,,,66380,1705476,,,,,,,,,,,,,,,250097,660549,0
,,,,5501228,,,3019,亞光,,,114519,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,0,,,,,,,,,,,,,,,,16352225,,,,13884989,,0,,49.72,8157499,20980398,,,,,,,,,2792439,,,8429673,,,5476803,24781898,,,,,,,,,,,,,,2467236,272174,3801500,0
,,,,726230,,,3021,鴻名,,,-49439,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,1670585,,,,1643216,,0,,17.14,1615363,2760249,,,,,,,,,958900,,,1696550,,,7525,3367135,,,,,,,,,,,,,,27369,81187,606886,0
,,,,8215906,,,3022,威強電,,,-371764,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,10590951,,,,10452477,,0,,59.19,2777854,10198055,,,,,,,,,1765978,,,3872738,,,842357,14463689,,,,,,,,,,,,,,138474,1094884,4265634,0
,,,,9196074,,,3023,信邦,,,-97361,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,14751359,,,,14573544,,0,,60.71,13376669,23424519,,,,,,,,,2400690,,,14171595,,,3074141,28922954,,,,,,,,,,,,,,177815,794926,5498435,0
,,,,565067,,,3024,憶聲,,,-410303,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,2927941,,,,2927941,,0,,10.56,2385765,3578262,,,,,,,,,2771575,,,2753464,,,1602,5681405,,,,,,,,,,,,,,,367699,2103143,0
,,,,211371,,,3025,星通,,,-2763,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,819926,,,,819926,,0,,14.45,242324,837146,,,,,,,,,567365,,,302828,,,43953,1122754,,,,,,,,,,,,,,,60504,285608,0
