CompanyName,Date,Season,SecuritiesCompanyCode,Year,停業單位損益,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,已實現銷貨（損）益,所得稅費用（利益）,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益（損失）,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
六角,1150904,2,2732,115,,406.00,10506.00,,,,2.13,498.00,40996.00,0.00,111173.00,121679.00,,95169.00,16004.00,157281.00,-5112.00,1321331.00,2653869.00,1332538.00,1333036.00,1176161.00,,152169.00,,100994.00,20685.00,111173.00
易飛網,1150904,2,2734,115,,,4.00,,,,0.02,,949.00,,868.00,872.00,,1026.00,-158.00,20730.00,-18913.00,868992.00,1020429.00,151437.00,151437.00,130707.00,,1817.00,,1054.00,-182.00,868.00
富野,1150904,2,2736,115,,,2332.00,,,,-0.58,,0.00,,-52665.00,-50333.00,,-46521.00,-6144.00,-38405.00,-14260.00,152697.00,296112.00,143415.00,143415.00,181820.00,,-52665.00,,-44189.00,-6144.00,-52665.00
華軒,1150904,2,2740,115,0.00,0.00,0.00,,,,-2.10,0.00,0.00,0.00,-33254.00,-33254.00,0.00,-33254.00,0.00,-22969.00,-10285.00,19002.00,30245.00,11243.00,11243.00,34212.00,,-33254.00,0.00,-33254.00,0.00,-33254.00
山富,1150904,2,2743,115,,,,,,,2.32,,22286.00,,108463.00,108463.00,,108463.00,,141747.00,-10998.00,3078407.00,3448053.00,369646.00,369646.00,227899.00,,130749.00,,108463.00,,108463.00
五福,1150904,2,2745,115,,,,,,,5.12,,46162.00,,173141.00,173141.00,,173141.00,,247317.00,-28014.00,4332554.00,5049526.00,716972.00,716972.00,469655.00,,219303.00,,173141.00,,173141.00
王座,1150904,2,2751,115,,176.00,51.00,,,,2.41,,13102.00,,53596.00,53647.00,,47669.00,5927.00,69198.00,-2500.00,499123.00,1012464.00,513341.00,513341.00,444319.00,,66698.00,,47720.00,5927.00,53596.00
豆府,1150904,2,2752,115,,,-3269.00,,,,8.10,,52455.00,,219511.00,216242.00,,216346.00,3165.00,258761.00,13205.00,1043166.00,2190179.00,1147013.00,1147013.00,888252.00,,271966.00,,213061.00,3181.00,219511.00
亞洲藏壽司,1150904,2,2754,115,,,1046.00,,,,2.60,,30515.00,,121780.00,122826.00,,121780.00,,181957.00,-29662.00,1760499.00,2989403.00,1228904.00,1228904.00,1046947.00,,152295.00,,122826.00,,121780.00
揚秦,1150904,2,2755,115,,,740.00,,,,2.90,,34160.00,,135033.00,135773.00,,135033.00,,165693.00,3500.00,1236268.00,1706889.00,470621.00,470621.00,304928.00,,169193.00,,135773.00,,135033.00
聯發國際,1150904,2,2756,115,,,1725.00,,,,1.53,,9818.00,,35268.00,36993.00,,37220.00,-1952.00,35237.00,9849.00,298123.00,610188.00,312065.00,312065.00,276828.00,,45086.00,,38792.00,-1799.00,35268.00
滿心,1150904,2,2916,115,,,6102.00,,,,2.07,,33374.00,,133493.00,139595.00,,,,136747.00,30120.00,474232.00,1005646.00,531414.00,531414.00,394667.00,,166867.00,,,,133493.00
宏太-KY,1150904,2,2924,115,,,70.00,,,,-0.44,,0.00,,-22766.00,-22696.00,,-22766.00,,-24275.00,1509.00,20817.00,28475.00,7658.00,7658.00,31933.00,,-22766.00,,-22696.00,,-22766.00
誠品生活,1150904,2,2926,115,,,8998.00,,,,0.32,,26713.00,,14863.00,23861.00,,15132.00,-269.00,-33339.00,74915.00,2168083.00,3506633.00,1338550.00,1338550.00,1371889.00,,41576.00,,24265.00,-404.00,14863.00
集雅社,1150904,2,2937,115,,,,,,,1.48,,18957.00,,64559.00,64559.00,,64559.00,,85341.00,-1825.00,2072406.00,2624020.00,551614.00,551614.00,466273.00,,83516.00,,64559.00,,64559.00
米斯特,1150904,2,2941,115,,,-11.00,,,,1.37,,4843.00,,21052.00,21041.00,,,,25585.00,310.00,167822.00,465356.00,297534.00,297534.00,271949.00,,25895.00,,,,21052.00
振宇五金,1150904,2,2947,115,,,,,,,1.78,,10191.00,,41600.00,41600.00,0.00,41600.00,0.00,56119.00,-4328.00,696176.00,1188211.00,492035.00,492035.00,435916.00,,51791.00,,41600.00,,41600.00
寶陞,1150904,2,2948,115,,,11978.00,,,,0.98,,14290.00,,30315.00,42293.00,,30315.00,,59514.00,-14909.00,637477.00,1101442.00,463965.00,463965.00,404451.00,,44605.00,,42293.00,,30315.00
欣新網,1150904,2,2949,115,,,-98.00,,,,1.68,,18639.00,,53545.00,53447.00,,50454.00,3091.00,72723.00,-539.00,2779610.00,3164715.00,385105.00,385105.00,312382.00,,72184.00,,50385.00,3062.00,53545.00
泰偉,1150904,2,3064,115,,,69.00,,,,-0.73,,0.00,,-9440.00,-9371.00,,-9438.00,-2.00,-6395.00,-3045.00,4525.00,41307.00,36782.00,36782.00,43177.00,,-9440.00,,-9369.00,-2.00,-9440.00
李洲,1150904,2,3066,115,,,131814.00,,,,5.41,,4959.00,,486047.00,617861.00,,449239.00,36808.00,-28203.00,519209.00,91306.00,140399.00,49093.00,49093.00,77296.00,,491006.00,,579372.00,38489.00,486047.00
全域,1150904,2,3067,115,,,0.00,,,,0.12,482.00,0.00,170.00,2339.00,2339.00,,2339.00,,-1073.00,3412.00,22507.00,32759.00,10252.00,10564.00,11637.00,,2339.00,,2339.00,,2339.00
