公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1538,正峰,25335,2,上市,115,-795,20339,14655,-5684,-34083,3859
1539,巨庭,11,2,上市,115,-13514,489723,589691,99968,78701,34770
1540,喬福,218,2,上市,115,-245561,206004,38567,-167437,77906,
1541,錩泰,3359,2,上市,115,-48631,148091,533292,385201,457904,-27431
1558,伸興,108264,2,上市,115,-991934,2670322,2073817,-596505,314289,-27124
1560,中砂,-10309,2,上市,115,-914168,1573289,2323684,750395,1256630,418242
1563,巧新,952,2,上市,115,-1668208,3212539,3497671,285132,746515,1205873
1568,倉佑,-14102,2,上市,115,-117434,420826,468869,48043,104049,75530
1582,信錦,127305,2,上市,115,83202,4075036,4068583,-6453,-375906,158946
1583,程泰,54083,2,上市,115,-172488,2133132,1921196,-211936,49694,-143225
1587,吉茂,42259,2,上市,115,-27544,442448,571256,128808,185251,-71158
1590,亞德客-KY,166237,2,上市,115,-1534204,3977215,8695538,4718323,5954216,132074
1597,直得,9368,2,上市,115,79436,706758,951524,244766,200673,-44711
1598,岱宇,2284,2,上市,115,386719,610052,834887,224835,438588,-602756
1603,華電,,2,上市,115,98185,135698,318051,182353,255765,-171597
1604,聲寶,7922,2,上市,115,-466510,883889,1108821,224932,128832,554688
1605,華新,973110,2,上市,115,1153211,14215311,17836888,3621577,-2034710,3529966
1608,華榮,,2,上市,115,-80914,394203,526493,132290,-315661,528865
1609,大亞,13344,2,上市,115,-1040971,6417892,8193131,1775239,1222191,1580675
1611,中電,4278,2,上市,115,283627,362797,436962,74165,65711,-279451
1612,宏泰,1146,2,上市,115,78498,1450333,1286289,-164044,-244313,625
1614,三洋電,,2,上市,115,33280,66101,81154,15053,-15703,-2524
1615,大山,,2,上市,115,-96616,99067,95288,-3779,529012,-436175
1616,億泰,6829,2,上市,115,24454,523717,578206,54489,-101552,124758
1617,榮星,4789,2,上市,115,200094,510598,499027,-11571,-161466,-54988
1618,合機,84,2,上市,115,-37711,187222,575388,388166,607145,-181352
1623,大東電,,2,上市,115,-46692,510430,607760,97330,-211391,355413
1626,艾美特-KY,127328,2,上市,115,-145581,765494,835960,70466,-116757,205476
1702,南僑,358496,2,上市,115,-1274480,5365659,4488977,-876682,553086,-513784
1707,葡萄王,20127,2,上市,115,-338960,4164558,3539231,-625327,658769,-965263
1708,東鹼,8658,2,上市,115,-54470,1661212,1616568,-44644,536828,-535660
1709,和益,-154,2,上市,115,135726,501351,455693,-45658,452380,-633610
1710,東聯,2049,2,上市,115,-58450,1532486,1368314,-164172,-1338893,1231122
1711,永光,7876,2,上市,115,-385850,1119887,1328467,208580,377058,209496
1712,興農,20749,2,上市,115,53235,1989350,1767598,-221752,45825,-341561
1713,國化,,2,上市,115,58385,102085,127235,25150,-32610,-625
1714,和桐,140053,2,上市,115,-513368,6380349,6750582,370233,1051380,-307832
1717,長興,159500,2,上市,115,-698945,6044025,9886139,3842114,2369005,2012554
1718,中纖,400036,2,上市,115,8211079,55439204,52062620,-3376584,-12971179,983480
1720,生達,-1138,2,上市,115,-262860,1833746,2014373,180627,611467,-166842
1721,國慶科技,,2,上市,115,74101,504789,308188,-196601,-102121,-168581
1722,台肥,1319,2,上市,115,-1051541,1949825,2706643,756818,297095,1509945
1723,中碳,7297,2,上市,115,-365172,1113759,809634,-304125,524288,-470538
