備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
本月營收較去年同期增長，係因CDMO事業體業務成長所致,6499,益安,1150911,-10.260701489722798,42424,29.515223677496174,29395,38071,生技醫療業,12.968758784834797,266795,301395,11508
-,6506,雙邦,1150911,-3.095178044588864,170491,13.09907652708466,146079,165214,紡織纖維,12.197214730787172,1294812,1452743,11508
-,6508,惠光,1150911,15.403722320976609,84947,13.55627888658504,86329,98032,農業科技,-5.361781976976092,1153236,1091402,11508
-,6509,聚和,1150911,-6.550154080537378,462096,20.01623087869086,359808,431828,化學工業,7.325550010760628,3364116,3610556,11508
本月營收受惠於AI所帶動之高效能運算(HPC)訂單需求暢旺，整體訂單增長，致營收變動達50%以上。,6510,精測,1150911,3.8569424964936885,614606,54.27157903895514,413758,638311,半導體業,33.14430578664898,3191951,4249901,11508
本月營收較去年同期減少，主要係受產品世代轉換影響。O1stream系列新品已陸續進入量產及出貨階段，相關市場拓展工作持續進行。,6512,啟發電,1150911,72.61205564142195,3235,-69.10820978092498,18076,5584,其他電子業,-54.53289026508572,132410,60203,11508
-,6516,勤崴國際,1150911,10.940494660947339,43828,15.206729060537851,42205,48623,資訊服務業,24.473135176802174,335997,418226,11508
配合客戶交期出貨致產生差異,6517,保勝光學,1150911,-17.409927377846717,56732,70.0911170000363,27547,46855,光電業,0.1721277736893967,320692,321244,11508
-,6523,達爾膚,1150911,55.900538768426,82967,-14.047247233943583,150485,129346,生技醫療業,-14.893101173597984,812544,691531,11508
-,6527,明達醫,1150911,-12.510772177005677,73105,-2.8495481127060076,65835,63959,生技醫療業,-10.24465210817242,605145,543150,11508
-,6530,創威,1150911,-0.26628684666831803,32296,10.679678372620439,29102,32210,通信網路業,16.326993592355272,215992,251257,11508
受惠於半導體產業增長，客戶訂單增加，帶動出貨量較去年同期提升,6532,瑞耘,1150911,-12.865018471156578,87975,74.22837401700077,43998,76657,半導體業,14.983764464881121,458870,527626,11508
本月勞務收入較去年同期增加,6535,順藥,1150911,11512.820512820514,78,5135.838150289017,173,9058,生技醫療業,1.269446845289542,18512,18747,11508
本月主產品太陽能網版銷貨量大幅提升所致,6538,倉和,1150911,6.813903797725943,157252,55.6734663614373,107897,167967,電子零組件業,0.06518662362652959,1021682,1022348,11508
-,6542,隆中,1150911,-3.5738687128816946,76108,8.902046328035732,67389,73388,文化創意業,18.333672332451936,555557,657411,11508
-,6546,正基,1150911,-7.143291442362108,213809,15.553537858020057,171813,198536,通信網路業,-3.9129253017079226,1570973,1509502,11508
本期增加海外營收,6547,高端疫苗,1150911,399.0099427920035,47371,416.8601727342298,45735,236386,生技醫療業,39.44562781972544,361959,504736,11508
-,6548,長科*,1150911,6.099515363535204,1555599,43.657297439383484,1148903,1650483,半導體業,28.263778227337742,8726558,11193013,11508
-,6556,勝品,1150911,15.50124325307781,98934,-10.488097196437383,127659,114270,光電業,2.14481732378395,948892,969244,11508
因主要客戶訂單逐漸回穩並陸續開始出貨。,6560,欣普羅,1150911,-28.38622291021672,15504,461.324570273003,1978,11103,光電業,64.14995833375167,99601,163495,11508
-,6561,是方,1150911,0.17540342788413352,359172,16.375621415841618,309173,359802,通信網路業,1.881874882155482,2694228,2744930,11508
-,6568,宏觀,1150911,8.288090944283407,105911,24.35377542611788,92228,114689,半導體業,20.316269243452336,730833,879311,11508
-,6569,醫揚,1150911,146.10081312644388,54973,43.1978153413,94477,135289,生技醫療業,14.174348495400066,873056,996806,11508
-,6570,維田,1150911,-2.906993052763467,106949,22.600297527686603,84698,103840,電腦及週邊設備業,27.520728587440377,596881,761147,11508
本月較去年同期增加82.80%，主係美學健康通路業務持續成長，帶動相關服務及醫材銷售增加。,6574,霈方,1150911,4.390450587341476,68444,82.79946784014737,39086,71449,生技醫療業,39.79211362908695,396659,554498,11508
本月營收較去年同期少，係因前期認列新劑型新藥Camcevi授權開發里程金收入，本期並無所致。,6576,逸達,1150911,-11.743725231175693,30280,-81.14841986455981,141760,26724,生技醫療業,-14.42235458252844,372720,318965,11508
-,6577,勁豐,1150911,-11.105732696251419,192126,2.7889621136890255,166155,170789,電腦及週邊設備業,3.431866581366612,1369284,1416276,11508
1.國內外客戶需求穩定、旺盛。2.新產品組合逐步提升高毛利品項出貨比重。3.因應未來訂單需求，規劃新廠，建置新產能,6578,達邦蛋白,1150911,-9.841715937110587,37717,97.3592571096924,17230,34005,農業科技,29.5049711051416,201766,261297,11508
