公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
3323,加百裕,14103,4,上櫃,113,-467517,1600116,1556438,-43678,281688,128048
3324,雙鴻,2504,4,上櫃,113,-1566914,1365804,2808811,1443007,1643430,1363987
3325,旭品,17722,4,上櫃,113,-73013,423889,306710,-117179,-50414,-11474
3332,幸康,63161,4,上櫃,113,-55559,747813,806715,58902,177391,-126091
3339,泰谷,,4,上櫃,113,-121327,488685,394500,-94185,28322,-1180
3349,寶德,-2808,4,上櫃,113,-15079,147685,70046,-77639,-48544,-11208
3354,律勝,-473,4,上櫃,113,32239,357928,198779,-159149,-61903,-129012
3357,臺慶科,109028,4,上櫃,113,-958950,2152634,1780997,-371637,685023,-206738
3360,尚立,31406,4,上櫃,113,-106477,301049,475419,174370,169994,79447
3362,先進光,59531,4,上櫃,113,-2567215,711173,904151,192978,608071,2092591
3363,上詮,14901,4,上櫃,113,18819,913040,1469741,556701,69705,453276
3372,典範,,4,上櫃,113,-279290,508570,314125,-194445,86995,-2150
3373,熱映,8820,4,上櫃,113,-9591,175871,147920,-27951,16110,-43290
3374,精材,,4,上櫃,113,-1441994,3719965,5035697,1315732,2138696,619030
3379,彬台,13263,4,上櫃,113,12599,143233,340322,197089,198823,-27596
3388,崇越電,174774,4,上櫃,113,-8381,2878520,2917814,39294,111615,-238714
3390,旭軟,6374,4,上櫃,113,-210217,940787,417499,-523288,155095,-474540
3402,漢科,15704,4,上櫃,113,-261178,2097917,3242199,1144282,2065958,-676202
3430,奇鈦科,5584,4,上櫃,113,-116124,423732,402396,-21336,142828,-53624
3434,哲固,69,4,上櫃,113,-128451,85158,99799,14641,-1983,145006
3438,類比科,,4,上櫃,113,-14159,380949,547756,166807,204953,-23987
3441,聯一光電,17731,4,上櫃,113,68830,522597,589089,66492,79814,-99883
3444,利機,2061,4,上櫃,113,-50146,398797,333159,-65638,88476,-106029
3455,由田,3467,4,上櫃,113,-60156,596743,502862,-93881,345613,-382805
3465,進泰電子,17804,4,上櫃,113,-3749,350095,233041,-117054,-21157,-109952
3466,德晉,875,4,上櫃,113,-140172,343580,224184,-119396,-43195,63096
3467,台灣精材,,4,上櫃,113,-44803,113990,129737,15747,88834,-28284
3479,安勤,85584,4,上櫃,113,-1888105,1450470,903956,-546514,797110,458897
3483,力致,116231,4,上櫃,113,-1009662,1812013,1790862,-21151,962373,-90093
3484,崧騰,89410,4,上櫃,113,329137,1827317,1904792,77475,262712,-603784
3485,敘豐,6706,4,上櫃,113,-4105,903776,1065785,162009,304833,-145425
3489,森寶,,4,上櫃,113,862,734054,898533,164479,1061520,-897903
3490,單井,881,4,上櫃,113,-74182,113229,247082,133853,29483,177671
3491,昇達科,8687,4,上櫃,113,-160392,731186,1246567,515381,713006,-45920
3492,長盛,12783,4,上櫃,113,-15007,260013,296936,36923,80160,-41013
3498,陽程,48645,4,上櫃,113,-208641,1190544,1065641,-124903,3691,31402
3499,環天科,16695,4,上櫃,113,-14857,283398,248260,-35138,39289,-76265
3508,位速,-18844,4,上櫃,113,58424,581982,496550,-85432,-74153,-50859
3511,矽瑪,4628,4,上櫃,113,-74921,547161,541627,-5534,112322,-47563
3512,皇龍,-4424,4,上櫃,113,510116,762108,480656,-281452,-750751,-36393
3516,亞帝歐,14722,4,上櫃,113,-475609,227222,338810,111588,302074,270401
3520,華盈,22646,4,上櫃,113,-40385,319187,215711,-103476,-122562,36825
3521,台鋼建設,-140,4,上櫃,113,13576,278732,723982,445250,-68049,499863
3522,御嵿,100,4,上櫃,113,-231040,539732,190698,-349034,20524,-138618
3523,迎輝,-2194,4,上櫃,113,-86270,96236,14298,-81938,-97431,103957
3526,凡甲,96071,4,上櫃,113,-386144,1043497,1969578,926081,1033046,183108
3527,聚積,5410,4,上櫃,113,-40165,1183073,1131962,-51111,97479,-113835
3529,力旺,82492,4,上櫃,113,-164950,2731524,3307749,576225,1992331,-1333648
3531,先益,26594,4,上櫃,113,186113,1052016,1396693,344677,308475,-176505
3537,堡達,8421,4,上櫃,113,-16550,303915,270567,-33348,128623,-153842
3540,曜越,42999,4,上櫃,113,-82399,716483,728557,12074,-334509,385983
3541,西柏,2303,4,上櫃,113,-479459,871159,613613,-257546,118468,101142
3546,宇峻,3274,4,上櫃,113,-395898,352304,361013,8709,252278,149055
3548,兆利,111408,4,上櫃,113,-506196,2967196,3275344,308148,448900,254036
3551,世禾,21973,4,上櫃,113,-158091,804323,869901,65578,533619,-331923
3552,同致,40948,4,上櫃,113,-774950,1095868,2084423,988555,1666820,55737
3555,博士旺,296,4,上櫃,113,513,34817,34412,-405,-7593,6379
3556,禾瑞亞,1577,4,上櫃,113,-17406,463414,642660,179246,271289,-76214
3558,神準,66432,4,上櫃,113,-486207,2957907,4073866,1115959,1702891,-167157
3564,其陽,8391,4,上櫃,113,-32543,220687,377537,156850,153471,27531
3567,逸昌,0,4,上櫃,113,-4275,132566,153070,20504,117615,-92836
3570,大塚,5830,4,上櫃,113,-17128,598019,662396,64377,227946,-152271
3577,泓格,2862,4,上櫃,113,-9293,91238,153434,62196,287075,-218448
3580,友威科,7384,4,上櫃,113,43392,669379,647728,-21651,205724,-278151
3581,博磊,11386,4,上櫃,113,-28227,745156,638398,-106758,12111,-102028
3587,閎康,63509,4,上櫃,113,-1682795,1994510,1874842,-119668,1803103,-303485
3594,磐儀,-4733,4,上櫃,113,1116,650519,469359,-181160,172633,-350176
3597,映興,11339,4,上櫃,113,67223,242165,216591,-25574,-5592,-98544
3609,三一東林,116,4,上櫃,113,-29548,237119,208064,-29055,-99731,100108
3611,鼎翰,245,4,上櫃,113,-2691663,1065550,1822879,757329,1132392,2316355
3615,安可,3840,4,上櫃,113,-71402,1108338,929320,-179018,132643,-244099
3623,富晶通,,4,上櫃,113,31831,83833,95398,11565,-1952,-18314
3624,光頡,4810,4,上櫃,113,-274202,792389,681702,-110687,328294,-169589
3625,西勝,13316,4,上櫃,113,174071,465642,193555,-272087,-303613,-155861
3628,盈正,22366,4,上櫃,113,-37595,301276,330796,29520,67843,-23094
3629,地心引力,2439,4,上櫃,113,-8583,103342,58467,-44875,-34343,-4388
3630,新鉅科,22494,4,上櫃,113,-780,666083,172804,-493279,-52981,-462012
3631,晟楠,37014,4,上櫃,113,111025,392191,440715,48524,-70039,-29476
3632,研勤,487,4,上櫃,113,-39133,69648,19086,-50562,1857,-13773
3646,艾恩特,16332,4,上櫃,113,-25639,230543,258214,27671,146351,-109373
3663,鑫科,50942,4,上櫃,113,-733274,741919,527111,-214808,362374,105150
3664,安瑞-KY,6652,4,上櫃,113,-12446,76389,17342,-59047,-208103,154850
3666,光耀,4000,4,上櫃,113,-1479,77632,60249,-17383,-91008,71104
3672,康聯訊,-1976,4,上櫃,113,25994,231720,157410,-74310,-73539,-24789
3675,德微,2463,4,上櫃,113,-327443,581159,919532,338373,563776,99577
3680,家登,22185,4,上櫃,113,-3312331,4004779,4291482,286703,967033,2609816
3684,榮昌,3101,4,上櫃,113,-18449,113412,165580,52168,147395,-79879
3685,元創精密,10069,4,上櫃,113,-1060,225599,359063,133464,251614,-127159
3687,歐買尬,880,4,上櫃,113,-239522,1355939,1267587,-88352,430709,-280419
3689,湧德,157305,4,上櫃,113,-512490,1414233,1388302,-25931,721186,-391932
3691,碩禾,34734,4,上櫃,113,60840,2076963,1684115,-392848,-2382312,1893890
3693,營邦,44314,4,上櫃,113,-303774,1623105,2023865,400760,757627,-97407
3707,漢磊,475,4,上櫃,113,-907561,3531506,5545353,2013847,336120,2584813
3709,鑫聯大投控,89856,4,上櫃,113,1301376,1092540,1332837,240297,-7250,-1143685
3710,連展投控,79961,4,上櫃,113,-398591,872322,724358,-147964,528993,-358327
3713,新晶投控,,4,上櫃,113,-498412,135522,181554,46032,325390,219054
4102,永日,2243,4,上櫃,113,-25054,124111,133526,9415,118671,-86445
4105,東洋,97018,4,上櫃,113,-243563,2621020,2772615,151595,1349376,-1051236
4107,邦特,5648,4,上櫃,113,-342117,1353815,1236955,-116860,702617,-483008
4109,加捷生醫,1086,4,上櫃,113,-128145,354424,112942,-241482,44346,-158769
4111,濟生,0,4,上櫃,113,-86306,381049,336189,-44860,213198,-171752
4113,聯上,,4,上櫃,113,220553,221488,1060511,839023,2217564,-1599094
4114,健喬,11274,4,上櫃,113,-336797,918559,1186105,267546,780622,-187553
4116,明基醫,5062,4,上櫃,113,-133217,830508,863191,32683,222221,-61383
4120,友華,115797,4,上櫃,113,465200,1736116,1435088,-301028,-121108,-760917
4121,優盛,3436,4,上櫃,113,-74692,482903,594256,111353,314103,-131494
4123,晟德,390,4,上櫃,113,-757515,1704592,1442273,-262319,415715,79091
4126,太醫,-614,4,上櫃,113,-150779,744983,740071,-4912,505242,-358761
4127,天良,,4,上櫃,113,-301510,142215,130667,-11548,48342,241620
4128,中天,-4753,4,上櫃,113,-302046,617036,673278,56242,529901,-166860
4129,聯合,22312,4,上櫃,113,-563600,449020,610682,161662,717289,-14339
4131,浩泰,,4,上櫃,113,-25169,293288,207992,-85296,-57154,-2973
4138,曜亞,17829,4,上櫃,113,-61593,924938,726279,-198659,224113,-379008
4139,馬光-KY,16237,4,上櫃,113,-7386,91719,73538,-18181,340128,-367160
4147,中裕,11538,4,上櫃,113,-714842,251007,580230,329223,-379552,1412079
4153,鈺緯,1295,4,上櫃,113,3858,536925,589143,52218,123138,-76073
