備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
-,2471,資通,1150911,1.1005431559972487,84322,7.162610619469026,79552,85250,資訊服務業,7.918498993545967,597146,644431,11508
被動元件市場需求增加,2472,立隆電,1150911,-1.301540656012038,1327811,51.18935687397397,866813,1310529,電子零組件業,24.37989170066266,7447691,9263430,11508
-,2474,可成,1150911,-5.048619597204645,1056467,-40.457521383248356,1684730,1003130,其他電子業,-33.10764444132297,12729027,8514746,11508
-,2476,鉅祥,1150911,-2.0339486010678747,970526,41.04273473844109,674112,950786,電子零組件業,39.812953681218005,4760639,6655990,11508
-,2477,美隆電,1150911,16.26522944541192,302621,27.950818777888088,274983,351843,其他電子業,3.7272298259524352,1676151,1738625,11508
-,2478,大毅,1150911,-3.6796225655675814,660883,43.63220372254852,443191,636565,電子零組件業,22.76785962122869,3602596,4422830,11508
-,2480,敦陽科,1150911,-4.793496358856181,813206,20.16137918832383,644321,774225,資訊服務業,16.44809269319406,5556395,6470316,11508
-,2481,強茂,1150911,-4.88920050288051,1447660,29.819236781713233,1060614,1376881,半導體業,18.102444649232893,8637640,10201264,11508
-,2482,連宇,1150911,21.686683799234277,38134,10.490975760750512,41998,46404,其他電子業,-8.43562520870997,347372,318069,11508
-,2483,百容,1150911,-6.500827703458458,201159,34.58750456181528,139747,188082,電子零組件業,21.947331976771355,1176995,1435314,11508
-,2484,希華,1150911,-3.4178456366437877,235587,25.08933578159188,181898,227535,電子零組件業,1.712453151897299,1649213,1677455,11508
因客戶端產品驗證通過，正式進入量產與備貨階段，帶動出貨量顯著提升，致使本月營收較去年同期大幅成長。,2485,兆赫,1150911,-20.02450618749158,311758,38.4113202729034,180137,249330,通信網路業,81.30158871998721,1387658,2515846,11508
-,2486,一詮,1150911,5.069789698213286,739794,46.069210459555194,532145,777300,光電業,29.997230066478405,4000096,5200014,11508
